,TEXT,START,END,LABEL
0,rocha,3973,3978,B-ROCHA
1,bacias,5063,5069,B-BACIA
2,poços,5469,5474,B-POÇO
3,pioneiros,5475,5484,B-POÇO
4,estratigráficos,5487,5502,B-POÇO
5,Poço,6237,6241,B-POÇO
6,Exploratório,6242,6254,I-POÇO
7,óleo,6306,6310,B-FLUIDODATERRA
8,água,6357,6361,B-FLUIDODATERRA
9,óleo,6394,6398,B-FLUIDODATERRA
10,Poço,6508,6512,B-POÇO
11,de,6513,6515,I-POÇO
12,Desenvolvimento,6516,6531,I-POÇO
13,água,6578,6582,B-FLUIDODATERRA
14,óleo,6615,6619,B-FLUIDODATERRA
15,óleo,6648,6652,B-FLUIDODATERRA
16,água,6847,6851,B-FLUIDODATERRA
17,água,6912,6916,B-FLUIDODATERRA
18,da,6917,6919,I-FLUIDODATERRA
19,formação,6920,6928,I-FLUIDODATERRA
20,óleo,6975,6979,B-FLUIDODATERRA
21,água,6981,6985,B-FLUIDODATERRA
22,poços,7016,7021,B-POÇO
23,poço,7191,7195,B-POÇO
24,campo,7214,7219,B-CAMPO
25,poço,7229,7233,B-POÇO
26,petróleo,7513,7521,B-FLUIDODATERRA
27,gás,7525,7528,B-FLUIDODATERRA
28,natural,7529,7536,I-FLUIDODATERRA
29,poços,8764,8769,B-POÇO
30,petróleo,8773,8781,B-FLUIDODATERRA
31,poço,8816,8820,B-POÇO
32,Poço,10615,10619,B-POÇO
33,poços,12289,12294,B-POÇO
34,na,15358,15360,B-ROCHA
35,poços,16609,16614,B-POÇO
36,UO-ES,20394,20399,B-POÇO
37,rocha,20551,20556,B-ROCHA
38,rochas,20891,20897,B-ROCHA
39,poços,21248,21253,B-POÇO
40,rocha,21363,21368,B-ROCHA
41,rocha,21792,21797,B-ROCHA
42,UO-ES,22030,22035,B-POÇO
43,rocha,22431,22436,B-ROCHA
44,poços,23698,23703,B-POÇO
45,Documentos,23754,23764,B-NÃOCONSOLID
