,TEXT,START,END,LABEL
0,Dézémbro,6,14,B-UNIDADE_CRONO
1,hidrocarbonetos,1813,1828,B-FLUIDODATERRA
2,Parana,2188,2194,B-BACIA
3,sedimentos,2594,2604,B-NÃOCONSOLID
4,bacia,2608,2613,B-BACIA
5,Paraná,2630,2636,B-BACIA
6,bacia,2920,2925,B-BACIA
7,Parana,2937,2943,B-BACIA
8,sedimentos,3016,3026,B-NÃOCONSOLID
9,bacia,3145,3150,B-BACIA
10,sedimentos,3433,3443,B-NÃOCONSOLID
11,Bacia,4837,4842,B-BACIA
12,do,4843,4845,I-BACIA
13,Parana,4846,4852,I-BACIA
14,Cenozôica,5003,5012,B-UNIDADE_CRONO
15,bacia,5075,5080,B-BACIA
16,Pérmiano,5258,5266,B-UNIDADE_CRONO
17,Inferior,5267,5275,I-UNIDADE_CRONO
18,Triássico,5303,5312,B-UNIDADE_CRONO
19,Superior,5313,5321,I-UNIDADE_CRONO
20,“,5357,5358,I-UNIDADE_CRONO
21,Inferior,5358,5366,I-UNIDADE_CRONO
22,Cretãceo,5370,5378,B-UNIDADE_CRONO
23,Superior,5379,5387,I-UNIDADE_CRONO
24,dépôsitos,5405,5414,B-ROCHA
25,Carbonífero,5511,5522,B-UNIDADE_CRONO
26,Superior,5523,5531,I-UNIDADE_CRONO
27,Permiano,5553,5561,B-UNIDADE_CRONO
28,are,5604,5607,B-ROCHA
29,formação,5618,5626,B-UNIDADE_LITO
30,Bauru,5627,5632,I-UNIDADE_LITO
31,Cretãceo,5637,5645,B-UNIDADE_CRONO
32,Bacia,5723,5728,B-BACIA
33,Sedi,5729,5733,I-BACIA
34,Devonianas,5791,5801,B-UNIDADE_CRONO
35,bacia,5898,5903,B-BACIA
36,bacia,6087,6092,B-BACIA
37,bacia,6395,6400,B-BACIA
38,poços,6561,6566,B-POÇO
39,idade,6646,6651,B-UNIDADE_CRONO
40,Terciária,6652,6661,I-UNIDADE_CRONO
41,areia,6679,6684,B-NÃOCONSOLID
42,formação,6908,6916,B-UNIDADE_LITO
43,Serra,6917,6922,I-UNIDADE_LITO
44,Geral,6923,6928,I-UNIDADE_LITO
45,formação,7025,7033,B-UNIDADE_LITO
46,Botucatu,7034,7042,I-UNIDADE_LITO
47,arenito,7090,7097,B-ROCHA
48,argila,7120,7126,B-NÃOCONSOLID
49,formação,7151,7159,B-UNIDADE_LITO
50,Teresina,7160,7168,I-UNIDADE_LITO
51,siltitos,7215,7223,B-ROCHA
52,calcários,7269,7278,B-ROCHA
53,calcário,7407,7415,B-ROCHA
54,folhelho,7419,7427,B-ROCHA
55,formação,7441,7449,B-UNIDADE_LITO
56,Irati,7450,7455,I-UNIDADE_LITO
57,Formação,7920,7928,B-UNIDADE_LITO
58,Trati,7929,7934,I-UNIDADE_LITO
59,diabásio,7952,7960,B-ROCHA
60,Grupo,7986,7991,B-UNIDADE_LITO
61,Itararê,7992,7999,I-UNIDADE_LITO
62,sedimentos,8291,8301,B-NÃOCONSOLID
63,siltitos,8749,8757,B-ROCHA
64,arenitos,8760,8768,B-ROCHA
65,arenitos,8822,8830,B-ROCHA
66,arenitos,8860,8868,B-ROCHA
67,arenitos,9148,9156,B-ROCHA
68,diabásio,9324,9332,B-ROCHA
69,diabásico,9564,9573,B-ROCHA
70,siltito,9641,9648,B-ROCHA
71,folhelho,9651,9659,B-ROCHA
72,arenitos,9678,9686,B-ROCHA
73,Grupo,9864,9869,B-UNIDADE_LITO
74,Itararé,9870,9877,I-UNIDADE_LITO
75,sedimentos,9890,9900,B-NÃOCONSOLID
76,bacia,9968,9973,B-BACIA
77,formação,10156,10164,B-UNIDADE_LITO
78,Irati,10165,10170,I-UNIDADE_LITO
79,formação,10172,10180,B-UNIDADE_LITO
80,Palermo,10181,10188,I-UNIDADE_LITO
81,Grupo,10190,10195,B-UNIDADE_LITO
82,-,10196,10197,I-UNIDADE_LITO
83,Itararé,10198,10205,I-UNIDADE_LITO
84,formação,10207,10215,B-UNIDADE_LITO
85,Ponta,10216,10221,I-UNIDADE_LITO
86,Grossa,10222,10228,I-UNIDADE_LITO
87,formação,10230,10238,B-UNIDADE_LITO
88,Furnas,10239,10245,I-UNIDADE_LITO
89,arenito,10248,10255,B-ROCHA
90,poços,10325,10330,B-POÇO
91,formação,10349,10357,B-UNIDADE_LITO
92,Irati,10358,10363,I-UNIDADE_LITO
93,Tilito,10418,10424,B-ROCHA
94,Grupo,10428,10433,B-UNIDADE_LITO
95,Itararé,10434,10441,I-UNIDADE_LITO
96,arenito,10449,10456,B-ROCHA
97,poço,10489,10493,B-POÇO
98,arenitos,10510,10518,B-ROCHA
99,formação,10806,10814,B-UNIDADE_LITO
100,Teresina,10815,10823,I-UNIDADE_LITO
101,formação,10828,10836,B-UNIDADE_LITO
102,Palermo,10837,10844,I-UNIDADE_LITO
103,Botucatu,11151,11159,B-UNIDADE_LITO
104,rochas,11456,11462,B-ROCHA
105,rochas,11530,11536,B-ROCHA
106,formação,11711,11719,B-UNIDADE_LITO
107,Serra,11720,11725,I-UNIDADE_LITO
108,Geral,11729,11734,I-UNIDADE_LITO
109,formação,11804,11812,B-UNIDADE_LITO
110,Teresina,11813,11821,I-UNIDADE_LITO
111,poços,11921,11926,B-POÇO
112,Fazenda,11963,11970,B-CAMPO
113,Cachoeira,11971,11980,I-CAMPO
114,pocos,12374,12379,B-POÇO
115,veículos,16386,16394,B-ROCHA
116,água,16499,16503,B-FLUIDODATERRA
117,óleo,16649,16653,B-FLUIDODATERRA
118,D-1-4-L,18053,18060,B-POÇO
119,Fazenda,18251,18258,B-CAMPO
120,Agua,18259,18263,I-CAMPO
121,Fazenda,18407,18414,B-CAMPO
122,São,18415,18418,I-CAMPO
123,João,18419,18423,I-CAMPO
124,da,18424,18426,I-CAMPO
125,Furna,18427,18432,I-CAMPO
126,cascalhada,18829,18839,B-NÃOCONSOLID
