,TEXT,START,END,LABEL
0,bacia,492,497,B-BACIA
1,do,498,500,I-BACIA
2,Parana,501,507,I-BACIA
3,Parana,589,595,I-UNIDADE_LITO
4,devonianas,615,625,B-UNIDADE_CRONO
5,Tubarão,635,642,I-UNIDADE_LITO
6,Permiano,645,653,B-UNIDADE_CRONO
7,Passa,664,669,I-UNIDADE_LITO
8,Dois,670,674,I-UNIDADE_LITO
9,Permiano,677,685,B-UNIDADE_CRONO
10,Formação,693,701,B-UNIDADE_LITO
11,Santa,702,707,I-UNIDADE_LITO
12,Maria,708,713,I-UNIDADE_LITO
13,Neotriassico,715,727,B-UNIDADE_CRONO
14,Formação,734,742,B-UNIDADE_LITO
15,Botucatu,743,751,I-UNIDADE_LITO
16,Eocretdceo,753,763,B-UNIDADE_CRONO
17,bacia,1035,1040,B-BACIA
18,do,1041,1043,I-BACIA
19,Parana,1044,1050,I-BACIA
20,hidrocarbonetos,1231,1246,B-FLUIDODATERRA
21,embasamento,1384,1395,B-UNIDADE_LITO
22,bacia,1562,1567,B-BACIA
23,do,1568,1570,I-BACIA
24,Paranã,1571,1577,I-BACIA
25,cerrado,2194,2201,B-ROCHA
26,cerrado,2271,2278,B-ROCHA
27,campos,2670,2676,B-CAMPO
28,bacia,3163,3168,B-BACIA
29,do,3169,3171,I-BACIA
30,Paranã,3172,3178,I-BACIA
31,Cenozéi,3326,3333,B-UNIDADE_CRONO
32,bacia,3400,3405,B-BACIA
33,Devoniano,3535,3544,B-UNIDADE_CRONO
34,Inferior,3545,3553,I-UNIDADE_CRONO
35,Permiano,3579,3587,B-UNIDADE_CRONO
36,Inferior,3588,3596,I-UNIDADE_CRONO
37,vulcânico,3610,3619,B-ROCHA
38,Triássico,3624,3633,B-UNIDADE_CRONO
39,Superior,3634,3642,I-UNIDADE_CRONO
40,Permiano,3667,3675,B-UNIDADE_CRONO
41,Inferior,3676,3684,I-UNIDADE_CRONO
42,Cretácio,3688,3696,B-UNIDADE_CRONO
43,Superior,3697,3705,I-UNIDADE_CRONO
44,grupo,3807,3812,B-UNIDADE_LITO
45,Aquidauana,3813,3823,I-UNIDADE_LITO
46,Carbonifero,3828,3839,B-UNIDADE_CRONO
47,Superior,3840,3848,I-UNIDADE_CRONO
48,Permiano,3870,3878,B-UNIDADE_CRONO
49,Cretãceo,3962,3970,B-UNIDADE_CRONO
50,bacia,4051,4056,B-BACIA
51,devonianas,4118,4128,B-UNIDADE_CRONO
52,bacia,4224,4229,B-BACIA
53,bacia,4416,4421,B-BACIA
54,formações,5150,5159,B-UNIDADE_LITO
55,Bauru,5160,5165,I-UNIDADE_LITO
56,Serra,5168,5173,B-UNIDADE_LITO
57,Geral,5174,5179,I-UNIDADE_LITO
58,rochas,5244,5250,B-ROCHA
59,cerrado,5545,5552,B-ROCHA
60,formação,5587,5595,B-UNIDADE_LITO
61,Cachoeirinha,5596,5608,I-UNIDADE_LITO
62,poços,5878,5883,B-POÇO
63,embasamento,5966,5977,B-UNIDADE_LITO
64,bacia,6002,6007,B-BACIA
65,Formação,6628,6636,B-UNIDADE_LITO
66,Furnas,6637,6643,I-UNIDADE_LITO
67,2-RPst-1-MT,6716,6727,B-POÇO
68,embasamento,7064,7075,B-UNIDADE_LITO
69,água,11693,11697,B-FLUIDODATERRA
70,campo,11774,11779,B-CAMPO
71,Pavalóimecânico,11952,11967,B-UNIDADE_CRONO
72,óleo,12046,12050,B-FLUIDODATERRA
73,bomba,12664,12669,B-NÃOCONSOLID
74,campo,13202,13207,B-CAMPO
75,Fazenda,13756,13763,B-CAMPO
76,São,13764,13767,I-CAMPO
77,João,13768,13772,I-CAMPO
78,Campo,14045,14050,B-CAMPO
79,“,14051,14052,I-CAMPO
80,grande,14052,14058,I-CAMPO
81,Cassilân,14061,14069,B-CAMPO
82,Campo,14524,14529,B-CAMPO
83,Grande,14530,14536,I-CAMPO
84,Fazenda,15293,15300,B-CAMPO
85,São,15301,15304,I-CAMPO
86,João,15305,15309,I-CAMPO
87,gado,15735,15739,B-CAMPO
88,Tutma,19593,19598,B-BACIA
89,embasamento,20325,20336,B-UNIDADE_LITO
90,formação,20444,20452,B-UNIDADE_LITO
91,Serra,20453,20458,I-UNIDADE_LITO
92,campo,21040,21045,B-CAMPO
