,TEXT,START,END,LABEL
0,POÇO,35,39,B-POÇO
1,1-MUC-1-AM,40,50,I-POÇO
2,poços,430,435,B-POÇO
3,poço,928,932,B-POÇO
4,1-MUC-1,933,940,I-POÇO
5,poço,1088,1092,B-POÇO
6,1-MUC-1-AM,1093,1103,I-POÇO
7,poço,1263,1267,B-POÇO
8,1-MUC-1-AM,1268,1278,I-POÇO
9,arenitos,2166,2174,B-ROCHA
10,formação,2334,2342,B-UNIDADE_LITO
11,Juruá,2343,2348,I-UNIDADE_LITO
12,poço,2517,2521,B-POÇO
13,poços,2746,2751,B-POÇO
14,poços,2815,2820,B-POÇO
15,8-RO-352-SE,2831,2842,B-POÇO
16,8-RO-359-SE,2847,2858,B-POÇO
17,poços,2961,2966,B-POÇO
18,poço,4035,4039,B-POÇO
19,1-LT-1-AM,4064,4073,B-POÇO
20,1-MUC-1-AM,4127,4137,B-POÇO
21,cascalho,4993,5001,B-NÃOCONSOLID
22,bombas,5273,5279,B-NÃOCONSOLID
23,Sistema,5536,5543,B-UNIDADE_CRONO
24,Ativo,5544,5549,I-UNIDADE_CRONO
25,bomba,5742,5747,B-NÃOCONSOLID
26,campo,6788,6793,B-CAMPO
27,campo,8454,8459,B-CAMPO
28,cascalhos,9661,9670,B-NÃOCONSOLID
29,poço,9897,9901,B-POÇO
30,poços,10635,10640,B-POÇO
31,poços,10706,10711,B-POÇO
32,poços,11813,11818,B-POÇO
33,poços,11884,11889,B-POÇO
34,poço,12451,12455,B-POÇO
35,água,12549,12553,B-FLUIDODATERRA
36,poço,12977,12981,B-POÇO
37,poço,13578,13582,B-POÇO
38,poço,13933,13937,B-POÇO
39,rochas,14227,14233,B-ROCHA
40,cascalhos,14718,14727,B-NÃOCONSOLID
41,cascalhos,14789,14798,B-NÃOCONSOLID
42,poço,14799,14803,B-POÇO
43,poço,14950,14954,B-POÇO
44,Potássio,17919,17927,B-UNIDADE_CRONO
45,poço,19039,19043,B-POÇO
46,poço,19163,19167,B-POÇO
47,poço,19311,19315,B-POÇO
48,óleo,19430,19434,B-FLUIDODATERRA
49,poço,20048,20052,B-POÇO
50,poço,20148,20152,B-POÇO
51,poço,21284,21288,B-POÇO
52,xantana,21511,21518,B-UNIDADE_CRONO
53,1-MUC-1-AM.,21905,21916,B-POÇO
54,poço,21945,21949,B-POÇO
55,poços,22538,22543,B-POÇO
56,poços,22648,22653,B-POÇO
57,poço,23677,23681,B-POÇO
58,bomba,25178,25183,B-NÃOCONSOLID
59,poço,26192,26196,B-POÇO
60,arenitos,26384,26392,B-ROCHA
61,folhelho,27021,27029,B-ROCHA
62,calcarenito,27052,27063,B-ROCHA
63,anidrita,27066,27074,B-ROCHA
64,água,27859,27863,B-FLUIDODATERRA
65,poço,27983,27987,B-POÇO
66,poço,28258,28262,B-POÇO
67,arenito,28739,28746,B-ROCHA
68,poço,29124,29128,B-POÇO
69,poço,29504,29508,B-POÇO
70,poço,29737,29741,B-POÇO
71,poço,30012,30016,B-POÇO
72,arenito,30493,30500,B-ROCHA
73,hidrocarbonetos,31001,31016,B-FLUIDODATERRA
74,bomba,31649,31654,B-NÃOCONSOLID
75,cascalho,33219,33227,B-NÃOCONSOLID
76,poço,33530,33534,B-POÇO
77,água,35738,35742,B-FLUIDODATERRA
78,arenitos,36722,36730,B-ROCHA
79,poço,37447,37451,B-POÇO
80,poço,37816,37820,B-POÇO
81,poço,38066,38070,B-POÇO
82,poço,38124,38128,B-POÇO
83,poço,38174,38178,B-POÇO
84,poço,38399,38403,B-POÇO
85,poço,40016,40020,B-POÇO
86,poço,41783,41787,B-POÇO
87,poço,42946,42950,B-POÇO
88,Poço-Slim,47820,47829,B-POÇO
89,Poço,48511,48515,B-POÇO
90,sistema,49293,49300,B-UNIDADE_CRONO
