,TEXT,START,END,LABEL
0,poços,161,166,B-POÇO
1,poços,786,791,B-POÇO
2,água,970,974,B-FLUIDODATERRA
3,poço,1194,1198,B-POÇO
4,7-LUC-31HP-AM,1199,1212,I-POÇO
5,poços,1627,1632,B-POÇO
6,petróleo,1636,1644,B-FLUIDODATERRA
7,arenito,2308,2315,B-ROCHA
8,arenito,2633,2640,B-ROCHA
9,água,3752,3756,B-FLUIDODATERRA
10,poço,4239,4243,B-POÇO
11,poço,4558,4562,B-POÇO
12,FL-7,5208,5212,B-POÇO
13,sistema,5503,5510,B-UNIDADE_CRONO
14,FL-7,6031,6035,B-POÇO
15,arenito,6482,6489,B-ROCHA
16,7-RUC-34H-AM,7060,7072,B-POÇO
17,FL-7,7412,7416,B-POÇO
18,poço,7919,7923,B-POÇO
19,poço,8147,8151,B-POÇO
20,poço,8708,8712,B-POÇO
21,poço,8967,8971,B-POÇO
22,argila,9108,9114,B-NÃOCONSOLID
23,argilas,9267,9274,B-NÃOCONSOLID
24,água,9317,9321,B-FLUIDODATERRA
25,arenitos,9337,9345,B-ROCHA
26,água,9768,9772,B-FLUIDODATERRA
27,poço,9887,9891,B-POÇO
28,hidrocarbonetos,10288,10303,B-FLUIDODATERRA
29,água,10314,10318,B-FLUIDODATERRA
30,sistema,11174,11181,B-UNIDADE_CRONO
31,poço,11830,11834,B-POÇO
32,poço,13219,13223,B-POÇO
33,poço,13944,13948,B-POÇO
34,arenito,13995,14002,B-ROCHA
35,poço,14483,14487,B-POÇO
36,poço,14854,14858,B-POÇO
37,calcit,16078,16084,B-ROCHA
38,Poços,19526,19531,B-POÇO
39,arenito,22040,22047,B-ROCHA
40,poço,22323,22327,B-POÇO
41,7-LUC-~,22328,22335,I-POÇO
42,óleo,22422,22426,B-FLUIDODATERRA
43,mineral,22427,22434,I-FLUIDODATERRA
44,óleo,22629,22633,B-FLUIDODATERRA
45,mineral,22634,22641,I-FLUIDODATERRA
46,óleo,22803,22807,B-FLUIDODATERRA
47,poço,22880,22884,B-POÇO
48,poço,23210,23214,B-POÇO
49,sistema,23837,23844,B-UNIDADE_CRONO
50,poço,24311,24315,B-POÇO
51,poço,24450,24454,B-POÇO
52,cascalhos,24625,24634,B-NÃOCONSOLID
53,poço,25266,25270,B-POÇO
54,7-LUC-31H-AM,25271,25283,I-POÇO
55,poço,25454,25458,B-POÇO
56,óleo,25675,25679,B-FLUIDODATERRA
57,óleo,25767,25771,B-FLUIDODATERRA
58,arenito,25863,25870,B-ROCHA
59,poço,25914,25918,B-POÇO
60,poço,25956,25960,B-POÇO
61,arenito,26286,26293,B-ROCHA
62,arenito,26458,26465,B-ROCHA
63,poço,26509,26513,B-POÇO
64,poço,26551,26555,B-POÇO
65,arenito,26881,26888,B-ROCHA
66,óleo,27265,27269,B-FLUIDODATERRA
67,óleo,27454,27458,B-FLUIDODATERRA
68,mineral,27459,27466,I-FLUIDODATERRA
69,óleo,28932,28936,B-FLUIDODATERRA
70,mineral,28937,28944,I-FLUIDODATERRA
71,óleo,29363,29367,B-FLUIDODATERRA
72,óleo,29460,29464,B-FLUIDODATERRA
73,óleo,30131,30135,B-FLUIDODATERRA
74,óleo,30479,30483,B-FLUIDODATERRA
75,poço,30607,30611,B-POÇO
76,7-LUC-J,30612,30619,I-POÇO
77,óleo,30962,30966,B-FLUIDODATERRA
78,mineral,30967,30974,I-FLUIDODATERRA
79,óleo,31049,31053,B-FLUIDODATERRA
80,mineral,31054,31061,I-FLUIDODATERRA
81,Formação,31572,31580,B-UNIDADE_LITO
82,Produtora,31581,31590,I-UNIDADE_LITO
83,Campo,31719,31724,B-CAMPO
84,de,31725,31727,I-CAMPO
85,Marfim,31728,31734,I-CAMPO
86,POÇO,32210,32214,B-POÇO
87,6,32215,32216,I-POÇO
88,poço,33006,33010,B-POÇO
89,poço,33118,33122,B-POÇO
90,poço,33195,33199,B-POÇO
91,poço,33332,33336,B-POÇO
92,poço,33403,33407,B-POÇO
93,poço,33552,33556,B-POÇO
