,TEXT,START,END,LABEL
0,1-JOB-1A-AM,55,66,B-POÇO
1,poço,214,218,B-POÇO
2,1-JOB-1A-AM,232,243,B-POÇO
3,poço,348,352,B-POÇO
4,1-JOB-1A-AM,353,364,I-POÇO
5,poço,509,513,B-POÇO
6,óleo,741,745,B-FLUIDODATERRA
7,gás,747,750,B-FLUIDODATERRA
8,arenitos,769,777,B-ROCHA
9,formação,781,789,B-UNIDADE_LITO
10,Juruá,790,795,I-UNIDADE_LITO
11,poço,829,833,B-POÇO
12,1-MUC-1A-AM,1010,1021,B-POÇO
13,1-JOB-1-AM,1031,1041,B-POÇO
14,poço,1301,1305,B-POÇO
15,poço,1328,1332,B-POÇO
16,Poço/Área/Bacia,1965,1980,B-POÇO
17,Juruá,2021,2026,B-CAMPO
18,arenitos,2282,2290,B-ROCHA
19,FM,2294,2296,B-UNIDADE_LITO
20,Juruá,2297,2302,I-UNIDADE_LITO
21,gás,2340,2343,B-FLUIDODATERRA
22,condensado,2346,2356,B-FLUIDODATERRA
23,diabásio,2890,2898,B-ROCHA
24,1-MUC-1-AM,3267,3277,B-POÇO
25,poço,3589,3593,B-POÇO
26,gás,4396,4399,B-FLUIDODATERRA
27,anidrita,5127,5135,B-ROCHA
28,água,5148,5152,B-FLUIDODATERRA
29,hidrocarbonetos,6158,6173,B-FLUIDODATERRA
30,poço,6426,6430,B-POÇO
31,poço,8347,8351,B-POÇO
32,gás,8370,8373,B-FLUIDODATERRA
33,poço,8917,8921,B-POÇO
34,poço,9720,9724,B-POÇO
35,poço,11336,11340,B-POÇO
36,1-MUC-1-AM,11397,11407,B-POÇO
37,poço,11701,11705,B-POÇO
38,1-RUT-1-AM,11706,11716,I-POÇO
