,TEXT,START,END,LABEL
0,campos,2972,2978,B-CAMPO
1,petróleo,2982,2990,B-FLUIDODATERRA
2,bacias,3401,3407,B-BACIA
3,gás,3499,3502,B-FLUIDODATERRA
4,poços,4127,4132,B-POÇO
5,bacias,7124,7130,B-BACIA
6,bacias,7156,7162,B-BACIA
7,bacia,7273,7278,B-BACIA
8,bacia,7312,7317,B-BACIA
9,bacias,7821,7827,B-BACIA
10,bacia,7906,7911,B-BACIA
11,bacias,8141,8147,B-BACIA
12,campos,8279,8285,B-CAMPO
13,campos,8849,8855,B-CAMPO
14,campos,9749,9755,B-CAMPO
15,poços,10730,10735,B-POÇO
16,poços,10780,10785,B-POÇO
17,campo,10789,10794,B-CAMPO
18,hidrocarbonetos,10887,10902,B-FLUIDODATERRA
19,hidrocarbonetos,10994,11009,B-FLUIDODATERRA
20,bacias,11014,11020,B-BACIA
21,hidrocarbonetos,11197,11212,B-FLUIDODATERRA
22,gases,11353,11358,B-FLUIDODATERRA
23,gás,11422,11425,B-FLUIDODATERRA
24,hidrocarbonetos,11735,11750,B-FLUIDODATERRA
25,hidrocarbonetos,11787,11802,B-FLUIDODATERRA
26,folhelhos,11806,11815,B-ROCHA
27,Bacia,12234,12239,B-BACIA
28,Potiguar,12240,12248,I-BACIA
29,Bacia,12587,12592,B-BACIA
30,Potiguar,12593,12601,I-BACIA
31,bacias,12654,12660,B-BACIA
32,bacias,12717,12723,B-BACIA
33,hidrocarbonetos,12818,12833,B-FLUIDODATERRA
34,campos,13324,13330,B-CAMPO
35,Campo,13387,13392,B-CAMPO
36,de,13393,13395,I-CAMPO
37,Sanhaçu,13396,13403,I-CAMPO
38,Bacia,13408,13413,B-BACIA
39,Potiguar,13414,13422,I-BACIA
40,campos,13740,13746,B-CAMPO
41,campos,13829,13835,B-CAMPO
42,Bacia,14092,14097,B-BACIA
43,Potiguar,14098,14106,I-BACIA
44,hidrocarbonetos,14567,14582,B-FLUIDODATERRA
45,poços,14698,14703,B-POÇO
46,Potiguar,16254,16262,B-BACIA
47,bacias,16512,16518,B-BACIA
48,Campo,16627,16632,B-CAMPO
49,de,16633,16635,I-CAMPO
50,Alto,16636,16640,I-CAMPO
51,do,16641,16643,I-CAMPO
52,Rodrigues,16644,16653,I-CAMPO
53,Bacia,16658,16663,B-BACIA
54,Potiguar,16664,16672,I-BACIA
55,campos,16751,16757,B-CAMPO
56,Potiguar,17924,17932,B-BACIA
