,TEXT,START,END,LABEL
0,Potiguar,731,739,B-BACIA
1,Basin,740,745,I-BACIA
2,Potiguar,2123,2131,B-BACIA
3,Potiguar,4848,4856,B-BACIA
4,Potiguar,5238,5246,B-BACIA
5,Basin,5247,5252,I-BACIA
6,Potiguar,5863,5871,B-BACIA
7,Potiguar,8617,8625,B-BACIA
8,Potiguar,8954,8962,B-BACIA
9,Potiguar,9312,9320,B-BACIA
10,Basin,9321,9326,I-BACIA
11,siltstones,18459,18469,B-ROCHA
12,mudstones,18474,18483,B-ROCHA
13,mudstones,18578,18587,B-ROCHA
14,calcrete,23120,23128,B-ROCHA
15,mudstones,24241,24250,B-ROCHA
16,Potiguar,44119,44127,B-BACIA
17,Basin,44128,44133,I-BACIA
18,petróleo,44635,44643,B-FLUIDODATERRA
19,Bacia,44647,44652,B-BACIA
20,Potiguar,44653,44661,I-BACIA
21,Bacias,44731,44737,B-BACIA
22,Sedimentares,44738,44750,I-BACIA
23,Bacia,45275,45280,B-BACIA
24,de,45281,45283,I-BACIA
25,Sergipe-Alagoas,45284,45299,I-BACIA
26,Bacia,51541,51546,B-BACIA
27,Potiguar,51547,51555,I-BACIA
28,Potiguar,52035,52043,B-BACIA
29,Bacia,53051,53056,B-BACIA
30,Potiguar,53057,53065,I-BACIA
31,Eocene,53275,53281,B-UNIDADE_CRONO
32,cretácea,53985,53993,B-UNIDADE_CRONO
33,Bacia,53997,54002,B-BACIA
34,Potiguar,54003,54011,I-BACIA
35,Formação,54995,55003,B-UNIDADE_LITO
36,Açu,55004,55007,I-UNIDADE_LITO
37,Bacia,55010,55015,B-BACIA
38,Potiguar,55016,55024,I-BACIA
