,TEXT,START,END,LABEL
0,campo,30,35,B-CAMPO
1,de,36,38,I-CAMPO
2,Piraúna,39,46,I-CAMPO
3,bacia,80,85,B-BACIA
4,de,86,88,I-BACIA
5,campos,89,95,I-BACIA
6,Enchova,324,331,B-CAMPO
7,Poços,380,385,B-POÇO
8,poços,404,409,B-POÇO
9,campo,427,432,B-CAMPO
10,de,433,435,I-CAMPO
11,Piraúna,436,443,I-CAMPO
12,3-PU1,449,454,B-POÇO
13,3-PU9,456,461,B-POÇO
14,4-RJS232,463,471,B-POÇO
15,4-RJS233,473,481,B-POÇO
16,rochas,603,609,B-ROCHA
17,poços,985,990,B-POÇO
18,Grupo,1092,1097,B-UNIDADE_LITO
19,Campos/,1098,1105,I-UNIDADE_LITO
20,Formação,1106,1114,B-UNIDADE_LITO
21,Carapebus,1115,1124,I-UNIDADE_LITO
22,Cretáceo,1136,1144,B-UNIDADE_CRONO
23,Santoniano,1147,1157,B-UNIDADE_CRONO
24,Campaniano,1158,1168,B-UNIDADE_CRONO
25,Enchova,1226,1233,B-CAMPO
26,gás,1282,1285,B-FLUIDODATERRA
27,Oligoceno,1305,1314,B-UNIDADE_CRONO
28,campo,1435,1440,B-CAMPO
29,de,1441,1443,I-CAMPO
30,Marimbá,1444,1451,I-CAMPO
31,campo,1575,1580,B-CAMPO
32,de,1581,1583,I-CAMPO
33,Piraúna,1584,1591,I-CAMPO
34,Formação,1620,1628,B-UNIDADE_LITO
35,Macaé,1629,1634,I-UNIDADE_LITO
36,santoniana,1657,1667,B-UNIDADE_CRONO
37,campo,1755,1760,B-CAMPO
38,de,1761,1763,I-CAMPO
39,Piraúna,1764,1771,I-CAMPO
40,Enchova(,1845,1853,B-CAMPO
41,poços,1991,1996,B-POÇO
42,poços,2045,2050,B-POÇO
43,calcários,2095,2104,B-ROCHA
44,Enchova,2138,2145,B-CAMPO
45,campo,2212,2217,B-CAMPO
46,arenitos,2333,2341,B-ROCHA
