,TEXT,START,END,LABEL
0,MO-15,105,110,B-POÇO
1,poço,128,132,B-POÇO
2,1-RJS657-RJ,146,157,B-POÇO
3,1-BRSA-619-RJS,159,173,B-POÇO
4,oligomioceno,406,418,B-UNIDADE_CRONO
5,poço,577,581,B-POÇO
6,1-RJS657,582,590,I-POÇO
7,Enchova,689,696,B-CAMPO
8,poço,766,770,B-POÇO
9,poço,822,826,B-POÇO
10,RJS657,827,833,I-POÇO
11,PAD-RJS657,880,890,B-POÇO
12,arenitos,1098,1106,B-ROCHA
13,formação,1135,1143,B-UNIDADE_LITO
14,Carapebus,1144,1153,I-UNIDADE_LITO
15,Oligomioceno,1187,1199,B-UNIDADE_CRONO
16,Enchova,1252,1259,B-CAMPO
17,Enchova,1474,1481,B-CAMPO
18,arenitos,1731,1739,B-ROCHA
19,Enchova,1770,1777,B-CAMPO
20,poço,2059,2063,B-POÇO
21,1-RJS-657-RJS,2064,2077,I-POÇO
22,Oligomioceno,2128,2140,B-UNIDADE_CRONO
23,poços,2234,2239,B-POÇO
24,poços,2487,2492,B-POÇO
25,poços,2670,2675,B-POÇO
26,rochas,2736,2742,B-ROCHA
27,MO-15,2759,2764,B-POÇO
28,poço,2836,2840,B-POÇO
29,1-RJS-657-RJS,2841,2854,I-POÇO
30,POÇO,2964,2968,B-POÇO
31,1-RJS-657-RJS,2969,2982,I-POÇO
32,poço,3168,3172,B-POÇO
33,1-RJS-657-RJS,3173,3186,I-POÇO
34,Oligomioceno,3246,3258,B-UNIDADE_CRONO
35,Arenito,3639,3646,B-ROCHA
36,Arenito,3737,3744,B-ROCHA
37,Oligomioceno,3945,3957,B-UNIDADE_CRONO
38,Oligomioceno,4100,4112,B-UNIDADE_CRONO
39,poço,4123,4127,B-POÇO
40,RJS657,4128,4134,I-POÇO
41,arenito,4353,4360,B-ROCHA
42,arenito,4441,4448,B-ROCHA
43,arenito,4632,4639,B-ROCHA
44,poços,5376,5381,B-POÇO
45,poço,5616,5620,B-POÇO
46,RJS657,5621,5627,I-POÇO
47,arenitos,6119,6127,B-ROCHA
48,Enchova,6261,6268,B-CAMPO
49,arenitos,6389,6397,B-ROCHA
50,arenito,6488,6495,B-ROCHA
51,arenitos,6560,6568,B-ROCHA
52,poços,6758,6763,B-POÇO
53,poços,6812,6817,B-POÇO
54,argila,6875,6881,B-NÃOCONSOLID
55,poços,7012,7017,B-POÇO
56,poços,7064,7069,B-POÇO
57,ENO03,7070,7075,I-POÇO
58,poços,7207,7212,B-POÇO
59,água,7258,7262,B-FLUIDODATERRA
60,de,7263,7265,I-FLUIDODATERRA
61,formação,7266,7274,I-FLUIDODATERRA
62,poço,7310,7314,B-POÇO
63,ENO-03,7315,7321,I-POÇO
64,poço,7369,7373,B-POÇO
65,ENO-07D,7374,7381,I-POÇO
66,Arenito,7695,7702,B-ROCHA
67,arenito,7728,7735,B-ROCHA
68,arenito,7779,7786,B-ROCHA
69,diamictito,7819,7829,B-ROCHA
70,arenito,8033,8040,B-ROCHA
71,água,8766,8770,B-FLUIDODATERRA
72,poço,9049,9053,B-POÇO
73,água,9571,9575,B-FLUIDODATERRA
74,poços,9595,9600,B-POÇO
75,RJS657,9627,9633,B-POÇO
76,hidrocarbonetos,9694,9709,B-FLUIDODATERRA
77,água,9810,9814,B-FLUIDODATERRA
78,poço,9945,9949,B-POÇO
79,RJS494,9950,9956,I-POÇO
80,arenito,10089,10096,B-ROCHA
81,arenitos,10290,10298,B-ROCHA
82,óleo,10317,10321,B-FLUIDODATERRA
83,poços,10415,10420,B-POÇO
84,poços,10570,10575,B-POÇO
85,RJS657,10587,10593,B-POÇO
86,RJS657,10643,10649,B-POÇO
87,ENO-13,10655,10661,B-POÇO
88,poços,10755,10760,B-POÇO
89,poço,10865,10869,B-POÇO
90,RJS494,10870,10876,I-POÇO
91,poço,11100,11104,B-POÇO
92,RJS494,11105,11111,I-POÇO
93,RJS-657,11154,11161,B-POÇO
94,MO-15,11167,11172,B-POÇO
95,óleo,11274,11278,B-FLUIDODATERRA
96,RJS657,12193,12199,B-POÇO
97,poços,12214,12219,B-POÇO
98,RJS657,12290,12296,B-POÇO
99,poço,12372,12376,B-POÇO
100,ENO13,12377,12382,I-POÇO
101,poços,13072,13077,B-POÇO
102,arenito,14436,14443,B-ROCHA
103,óleo,15151,15155,B-FLUIDODATERRA
104,Oligomioceno,15172,15184,B-UNIDADE_CRONO
105,poço,15202,15206,B-POÇO
106,RJS657,15207,15213,I-POÇO
107,POÇO,15557,15561,B-POÇO
108,1-RJS-657-RJS,15562,15575,I-POÇO
