,TEXT,START,END,LABEL
0,poço,45,49,B-POÇO
1,MA-,50,53,I-POÇO
2,Campo,493,498,B-CAMPO
3,de,499,501,I-CAMPO
4,Marimba,502,509,I-CAMPO
5,poços,575,580,B-POÇO
6,poço,775,779,B-POÇO
7,MA-06D,780,786,I-POÇO
8,hidrocarbonetos,839,854,B-FLUIDODATERRA
9,formação,867,875,B-UNIDADE_LITO
10,Carapebus,876,885,I-UNIDADE_LITO
11,arenitos,892,900,B-ROCHA
12,óleo,1003,1007,B-FLUIDODATERRA
13,idade,1013,1018,B-UNIDADE_CRONO
14,Santoniana,1019,1029,I-UNIDADE_CRONO
15,arenitos,1204,1212,B-ROCHA
16,óleo,1400,1404,B-FLUIDODATERRA
17,campo,1466,1471,B-CAMPO
18,campo,1530,1535,B-CAMPO
19,de,1536,1538,I-CAMPO
20,Marimbá,1539,1546,I-CAMPO
21,arenito,1674,1681,B-ROCHA
22,poço,1713,1717,B-POÇO
23,MA-06,1718,1723,I-POÇO
24,poço,1924,1928,B-POÇO
25,Campo,2049,2054,B-CAMPO
26,de,2055,2057,I-CAMPO
27,Marimba,2058,2065,I-CAMPO
28,poços,2103,2108,B-POÇO
29,MA-02,2114,2119,B-POÇO
30,MA-08,2121,2126,B-POÇO
31,MA-16,2129,2134,B-POÇO
32,poço,2218,2222,B-POÇO
33,MA-06D,2223,2229,I-POÇO
34,poço,2400,2404,B-POÇO
35,água,2590,2594,B-FLUIDODATERRA
36,poço,2883,2887,B-POÇO
37,MA,2888,2890,I-POÇO
38,água,3180,3184,B-FLUIDODATERRA
39,água,3376,3380,B-FLUIDODATERRA
40,MA-06,3407,3412,B-POÇO
41,poço,3693,3697,B-POÇO
42,MA-06,3698,3703,I-POÇO
43,água,3755,3759,B-FLUIDODATERRA
44,poço,3973,3977,B-POÇO
45,poço,4184,4188,B-POÇO
46,água,4287,4291,B-FLUIDODATERRA
47,poço,4404,4408,B-POÇO
48,óleo,4499,4503,B-FLUIDODATERRA
49,poço,4567,4571,B-POÇO
50,folhelho,4593,4601,B-ROCHA
51,água,4648,4652,B-FLUIDODATERRA
52,poço,4747,4751,B-POÇO
53,óleo,4783,4787,B-FLUIDODATERRA
54,poço,4817,4821,B-POÇO
55,óleo,4853,4857,B-FLUIDODATERRA
56,poço,5416,5420,B-POÇO
57,MA,5421,5423,I-POÇO
58,06D,5424,5427,I-POÇO
59,campos,5661,5667,B-CAMPO
60,campo,6155,6160,B-CAMPO
