,TEXT,START,END,LABEL
0,Rocha,1262,1267,B-ROCHA
1,poços,2282,2287,B-POÇO
2,campo,4128,4133,B-CAMPO
3,de,4134,4136,I-CAMPO
4,Marimba,4137,4144,I-CAMPO
5,campo,4212,4217,B-CAMPO
6,de,4218,4220,I-CAMPO
7,Marimba,4221,4228,I-CAMPO
8,poços,4327,4332,B-POÇO
9,campo,4491,4496,B-CAMPO
10,de,4497,4499,I-CAMPO
11,Marimbá,4500,4507,I-CAMPO
12,campo,4627,4632,B-CAMPO
13,de,4633,4635,I-CAMPO
14,Marimba,4636,4643,I-CAMPO
15,poços,5157,5162,B-POÇO
16,poços,5200,5205,B-POÇO
17,campo,5309,5314,B-CAMPO
18,poços,5372,5377,B-POÇO
19,Ma2D,5378,5382,I-POÇO
20,poços,5533,5538,B-POÇO
21,poços,5554,5559,B-POÇO
22,arenito,5918,5925,B-ROCHA
23,poço,5970,5974,B-POÇO
24,poços,6016,6021,B-POÇO
25,poços,6106,6111,B-POÇO
26,poços,6154,6159,B-POÇO
27,poço,6216,6220,B-POÇO
28,poços,7478,7483,B-POÇO
29,óleo,8373,8377,B-FLUIDODATERRA
30,óleo,8532,8536,B-FLUIDODATERRA
31,óleo,10648,10652,B-FLUIDODATERRA
32,campo,11102,11107,B-CAMPO
33,de,11108,11110,I-CAMPO
34,Marimbá,11111,11118,I-CAMPO
35,campo,11277,11282,B-CAMPO
36,campo,11598,11603,B-CAMPO
37,poço,11734,11738,B-POÇO
38,MA7d,11739,11743,I-POÇO
39,poço,11886,11890,B-POÇO
40,campo,12492,12497,B-CAMPO
41,campo,13475,13480,B-CAMPO
42,óleo,13554,13558,B-FLUIDODATERRA
43,poço,14559,14563,B-POÇO
44,produtor,14564,14572,B-POÇO
45,óleo,14754,14758,B-FLUIDODATERRA
46,poço,14789,14793,B-POÇO
47,produtor,14794,14802,B-POÇO
48,poço,14814,14818,B-POÇO
49,RJS284,14819,14825,I-POÇO
50,Campo,15190,15195,B-CAMPO
51,Campo,15199,15204,B-CAMPO
52,de,15205,15207,I-CAMPO
53,Marimbá,15208,15215,I-CAMPO
54,Bacia,15232,15237,B-BACIA
55,de,15238,15240,I-BACIA
56,Campos,15241,15247,I-BACIA
57,poço,15358,15362,B-POÇO
58,1-RJS-284,15363,15372,I-POÇO
59,hidrocarbonetos,15440,15455,B-FLUIDODATERRA
60,hidrocarbonetos,15511,15526,B-FLUIDODATERRA
61,formação,15539,15547,B-UNIDADE_LITO
62,Carapebus,15548,15557,I-UNIDADE_LITO
63,arenitos,15564,15572,B-ROCHA
64,Cretáceo,15648,15656,B-UNIDADE_CRONO
65,óleo,15699,15703,B-FLUIDODATERRA
66,idade,15711,15716,B-UNIDADE_CRONO
67,Santoniana,15717,15727,I-UNIDADE_CRONO
68,Campaniana,15729,15739,I-UNIDADE_CRONO
69,arenito,15762,15769,B-ROCHA
70,óleo,15813,15817,B-FLUIDODATERRA
71,Enchova,15834,15841,B-CAMPO
72,idade,15845,15850,B-UNIDADE_CRONO
73,eoceno,15851,15857,I-UNIDADE_CRONO
74,médio,15858,15863,I-UNIDADE_CRONO
75,gás,15866,15869,B-FLUIDODATERRA
76,Marlim,15900,15906,B-CAMPO
77,Espadarte,15997,16006,B-CAMPO
78,idade,16011,16016,B-UNIDADE_CRONO
79,Turoniana,16017,16026,I-UNIDADE_CRONO
80,Roncador,16029,16037,B-CAMPO
81,idade,16041,16046,B-UNIDADE_CRONO
82,Maastrichctiana,16047,16062,I-UNIDADE_CRONO
83,idade,16180,16185,B-UNIDADE_CRONO
84,santoniana,16186,16196,I-UNIDADE_CRONO
85,campaniana,16197,16207,I-UNIDADE_CRONO
86,sedimentos,16274,16284,B-NÃOCONSOLID
87,arenito,16477,16484,B-ROCHA
88,folhelho,16485,16493,B-ROCHA
89,arenito,16570,16577,B-ROCHA
90,campo,16637,16642,B-CAMPO
91,de,16643,16645,I-CAMPO
92,Marimbá,16646,16653,I-CAMPO
93,arenitos,16840,16848,B-ROCHA
94,folhelhos,16883,16892,B-ROCHA
95,arenitos,16935,16943,B-ROCHA
96,folhelhos,16946,16955,B-ROCHA
97,arenitos,16990,16998,B-ROCHA
98,folhelhos,17016,17025,B-ROCHA
99,arenitos,17072,17080,B-ROCHA
100,Campo,17201,17206,B-CAMPO
101,de,17207,17209,I-CAMPO
102,Marimbá,17210,17217,I-CAMPO
103,sedimentos,17288,17298,B-NÃOCONSOLID
104,sedimentos,17451,17461,B-NÃOCONSOLID
105,santonianos,17462,17473,B-UNIDADE_CRONO
106,turonianos,17477,17487,B-UNIDADE_CRONO
107,Fm,17505,17507,B-UNIDADE_LITO
108,Macaé,17508,17513,I-UNIDADE_LITO
109,arenitos,17535,17543,B-ROCHA
110,argila,17594,17600,B-NÃOCONSOLID
111,poço,17730,17734,B-POÇO
112,7-MA-15D-RJS,17735,17747,I-POÇO
113,campo,17788,17793,B-CAMPO
114,campo,18010,18015,B-CAMPO
115,idade,18184,18189,B-UNIDADE_CRONO
116,N-260.9,18190,18197,I-UNIDADE_CRONO
117,poço,18283,18287,B-POÇO
118,7-MA-2D-RJS,18288,18299,I-POÇO
119,arenitos,18313,18321,B-ROCHA
120,argila,18397,18403,B-NÃOCONSOLID
121,poços,18558,18563,B-POÇO
122,7-MA-12,18564,18571,I-POÇO
123,18DP,18574,18578,B-POÇO
124,MA12,18592,18596,B-POÇO
125,9-MA26D,18622,18629,B-POÇO
126,Rocha,18976,18981,B-ROCHA
127,poços,19062,19067,B-POÇO
128,rocha,19127,19132,B-ROCHA
129,água,20206,20210,B-FLUIDODATERRA
130,água,20338,20342,B-FLUIDODATERRA
131,poços,20463,20468,B-POÇO
132,óleo,20535,20539,B-FLUIDODATERRA
133,óleo,21190,21194,B-FLUIDODATERRA
134,poços,21199,21204,B-POÇO
135,óleo,21299,21303,B-FLUIDODATERRA
136,poços,21396,21401,B-POÇO
137,poços,22391,22396,B-POÇO
138,RJS287,22412,22418,B-POÇO
139,RJS338,22420,22426,B-POÇO
140,poços,22488,22493,B-POÇO
141,RJS338,22517,22523,B-POÇO
142,RJS284,22527,22533,B-POÇO
143,poços,23241,23246,B-POÇO
144,MA2d,23247,23251,I-POÇO
145,MA4da,23254,23259,B-POÇO
146,poços,23676,23681,B-POÇO
147,Ma4d,23682,23686,I-POÇO
148,arenitos,23908,23916,B-ROCHA
149,rocha,24268,24273,B-ROCHA
150,poços,24487,24492,B-POÇO
151,poços,24569,24574,B-POÇO
152,rocha,25082,25087,B-ROCHA
153,poços,25112,25117,B-POÇO
154,óleo,25184,25188,B-FLUIDODATERRA
155,poços,25792,25797,B-POÇO
156,poços,25882,25887,B-POÇO
157,poço,25931,25935,B-POÇO
158,arenito,26115,26122,B-ROCHA
159,poços,26179,26184,B-POÇO
160,poços,26298,26303,B-POÇO
161,poços,26324,26329,B-POÇO
162,poços,27694,27699,B-POÇO
163,poço,27777,27781,B-POÇO
164,óleo,28366,28370,B-FLUIDODATERRA
165,Espadarte,28448,28457,B-CAMPO
166,idade,28493,28498,B-UNIDADE_CRONO
167,Turoniana,28499,28508,I-UNIDADE_CRONO
168,Espadarte,28576,28585,B-CAMPO
169,óleo,28596,28600,B-FLUIDODATERRA
170,poços,28605,28610,B-POÇO
171,RJS394d,28611,28618,I-POÇO
172,MA11,28620,28624,B-POÇO
173,MA12,28627,28631,B-POÇO
174,óleo,28712,28716,B-FLUIDODATERRA
175,poço,28737,28741,B-POÇO
176,Ma11,28742,28746,I-POÇO
177,óleo,28766,28770,B-FLUIDODATERRA
178,campo,29083,29088,B-CAMPO
179,de,29089,29091,I-CAMPO
180,Marimbá,29092,29099,I-CAMPO
181,campo,29184,29189,B-CAMPO
182,campo,29463,29468,B-CAMPO
183,água,29724,29728,B-FLUIDODATERRA
184,água,30493,30497,B-FLUIDODATERRA
185,Turoniano,31448,31457,B-UNIDADE_CRONO
186,Fm,31821,31823,B-UNIDADE_LITO
187,Macaé,31824,31829,I-UNIDADE_LITO
188,Formação,31948,31956,B-UNIDADE_LITO
189,Macaé,31957,31962,I-UNIDADE_LITO
190,poços,32006,32011,B-POÇO
191,poços,32182,32187,B-POÇO
192,água,32492,32496,B-FLUIDODATERRA
193,poços,34466,34471,B-POÇO
194,Ma26D,34472,34477,I-POÇO
195,Ma22,34480,34484,I-POÇO
196,poços,34658,34663,B-POÇO
197,MA26D,34664,34669,I-POÇO
198,arenito,34714,34721,B-ROCHA
199,arenito,34732,34739,B-ROCHA
200,arenito,34749,34756,B-ROCHA
201,folhelho,34771,34779,B-ROCHA
202,Turoniano,34922,34931,B-UNIDADE_CRONO
203,poços,35045,35050,B-POÇO
204,poços,35229,35234,B-POÇO
205,poços,35389,35394,B-POÇO
206,poços,35503,35508,B-POÇO
207,arenito,35897,35904,B-ROCHA
208,Folhelho,35971,35979,B-ROCHA
209,arenito,35982,35989,B-ROCHA
210,Folhelho,36591,36599,B-ROCHA
211,arenito,36602,36609,B-ROCHA
212,poços,36766,36771,B-POÇO
213,rocha,36976,36981,B-ROCHA
214,poços,37444,37449,B-POÇO
215,areias,37799,37805,B-NÃOCONSOLID
216,areias,37900,37906,B-NÃOCONSOLID
217,poços,38132,38137,B-POÇO
218,RJS-294,39013,39020,B-POÇO
219,óleo,39391,39395,B-FLUIDODATERRA
220,rocha,40139,40144,B-ROCHA
221,óleo,40260,40264,B-FLUIDODATERRA
222,poços,40591,40596,B-POÇO
223,poço,40866,40870,B-POÇO
224,produtor,40871,40879,B-POÇO
225,poços,40960,40965,B-POÇO
226,produtores,40966,40976,B-POÇO
227,óleo,41002,41006,B-FLUIDODATERRA
228,poço,41040,41044,B-POÇO
229,RJS284,41045,41051,I-POÇO
230,óleo,41286,41290,B-FLUIDODATERRA
231,poços,41353,41358,B-POÇO
232,óleo,41931,41935,B-FLUIDODATERRA
233,poços,42066,42071,B-POÇO
234,Rjs287,42072,42078,I-POÇO
235,óleo,42233,42237,B-FLUIDODATERRA
236,poço,42294,42298,B-POÇO
237,RJS284,42299,42305,I-POÇO
238,óleo,42413,42417,B-FLUIDODATERRA
239,água,42469,42473,B-FLUIDODATERRA
240,poço,42692,42696,B-POÇO
241,óleo,42745,42749,B-FLUIDODATERRA
242,óleo,43019,43023,B-FLUIDODATERRA
243,poço,43164,43168,B-POÇO
244,MA18D,43169,43174,I-POÇO
245,óleo,43394,43398,B-FLUIDODATERRA
246,óleo,43543,43547,B-FLUIDODATERRA
247,SE_RJS338-Locação,43632,43649,B-POÇO
248,poço,43724,43728,B-POÇO
249,RJS338,43729,43735,I-POÇO
250,poço,43989,43993,B-POÇO
251,RJS423,43994,44000,I-POÇO
252,poço,44191,44195,B-POÇO
253,MA,44196,44198,I-POÇO
254,1D,44199,44201,I-POÇO
255,Eoceno,44440,44446,B-UNIDADE_CRONO
256,campo,44732,44737,B-CAMPO
257,de,44738,44740,I-CAMPO
258,Marimbá,44741,44748,I-CAMPO
259,água,45769,45773,B-FLUIDODATERRA
260,poços,45905,45910,B-POÇO
261,óleo,45961,45965,B-FLUIDODATERRA
262,óleo,46123,46127,B-FLUIDODATERRA
263,óleo,46226,46230,B-FLUIDODATERRA
264,campo,46363,46368,B-CAMPO
265,óleo,46435,46439,B-FLUIDODATERRA
266,poços,46695,46700,B-POÇO
267,Campo,47035,47040,B-CAMPO
268,de,47041,47043,I-CAMPO
269,Marimba,47044,47051,I-CAMPO
270,RJS-409,47114,47121,B-POÇO
271,Campo,47360,47365,B-CAMPO
272,de,47366,47368,I-CAMPO
273,Marimbá,47369,47376,I-CAMPO
274,Santoniano,47533,47543,B-UNIDADE_CRONO
275,de,47544,47546,I-UNIDADE_CRONO
276,Campo,48045,48050,B-CAMPO
277,de,48051,48053,I-CAMPO
278,Marimbá,48054,48061,I-CAMPO
279,Bacia,48063,48068,B-BACIA
280,de,48069,48071,I-BACIA
281,Campos,48072,48078,I-BACIA
282,Campos,48216,48222,B-BACIA
283,Marimbá,48236,48243,B-BACIA
284,Bacia,48245,48250,B-BACIA
285,de,48251,48253,I-BACIA
286,Campos,48254,48260,I-BACIA
287,óleo,48849,48853,B-FLUIDODATERRA
