,TEXT,START,END,LABEL
0,Potiguar,55689,55697,B-BACIA
1,Basin,55698,55703,I-BACIA
2,Potiguar,58448,58456,B-BACIA
3,Basin,58457,58462,I-BACIA
4,Santos,59026,59032,B-BACIA
5,Formação,76004,76012,B-UNIDADE_LITO
6,Barra,76013,76018,I-UNIDADE_LITO
7,Velha,76019,76024,I-UNIDADE_LITO
8,Bacia,76026,76031,B-BACIA
9,de,76032,76034,I-BACIA
10,Santos,76035,76041,I-BACIA
11,Formação,76934,76942,B-UNIDADE_LITO
12,Yacoraite,76943,76952,I-UNIDADE_LITO
13,bacia,77597,77602,B-BACIA
14,de,77603,77605,I-BACIA
15,Salta,77606,77611,I-BACIA
16,Bacia,77872,77877,B-BACIA
17,de,77878,77880,I-BACIA
18,Salta,77881,77886,I-BACIA
19,Albacora,80934,80942,B-CAMPO
20,Campos,80950,80956,B-BACIA
21,Basin,80957,80962,I-BACIA
22,Paraná,83650,83656,B-BACIA
23,Basin,83657,83662,I-BACIA
24,bacias,89442,89448,B-BACIA
25,Bacia,89493,89498,B-BACIA
26,de,89499,89501,I-BACIA
27,Recôncavo,89502,89511,I-BACIA
28,Sub-bacia,94737,94746,B-BACIA
29,de,94747,94749,I-BACIA
30,Métan-Alemania,94750,94764,I-BACIA
31,Maastrichtiano,94766,94780,B-UNIDADE_CRONO
32,Bacia,94784,94789,B-BACIA
33,de,94790,94792,I-BACIA
34,Salta,94793,94798,I-BACIA
35,Bacia,95063,95068,B-BACIA
36,Potiguar,95069,95077,I-BACIA
37,Bacia,95389,95394,B-BACIA
38,de,95395,95397,I-BACIA
39,Salta,95398,95403,I-BACIA
40,Bacia,95668,95673,B-BACIA
41,Potiguar,95674,95682,I-BACIA
42,Bacia,96185,96190,B-BACIA
43,do,96191,96193,I-BACIA
44,Recôncavo,96194,96203,I-BACIA
45,Grupo,99644,99649,B-UNIDADE_LITO
46,Cuyo,99650,99654,I-UNIDADE_LITO
