,TEXT,START,END,LABEL
0,Potiguar,749,757,B-BACIA
1,Basin,758,763,I-BACIA
2,Potiguar,2034,2042,B-BACIA
3,Basin,2043,2048,I-BACIA
4,Potiguar,4704,4712,B-BACIA
5,Basin,4713,4718,I-BACIA
6,Potiguar,5164,5172,B-BACIA
7,Basin,5173,5178,I-BACIA
8,Potiguar,5766,5774,B-BACIA
9,Potiguar,6072,6080,B-BACIA
10,Basin,6081,6086,I-BACIA
11,Potiguar,8551,8559,B-BACIA
12,Potiguar,8870,8878,B-BACIA
13,Basin,8879,8884,I-BACIA
14,mudstones,18194,18203,B-ROCHA
15,calcrete,22558,22566,B-ROCHA
16,mudstones,23736,23745,B-ROCHA
17,Potiguar,25849,25857,B-BACIA
18,Basin,25858,25863,I-BACIA
19,Potiguar,42473,42481,B-BACIA
20,Basin,42482,42487,I-BACIA
21,Potiguar,42819,42827,B-BACIA
22,Basin,42828,42833,I-BACIA
23,Potiguar,43016,43024,B-BACIA
24,Basin,43025,43030,I-BACIA
25,petróleo,43526,43534,B-FLUIDODATERRA
26,Bacia,43538,43543,B-BACIA
27,Potiguar,43544,43552,I-BACIA
28,Bacias,43622,43628,B-BACIA
29,Sedimentares,43629,43641,I-BACIA
30,Bacia,44231,44236,B-BACIA
31,de,44237,44239,I-BACIA
32,Sergipe-Alagoas,44240,44255,I-BACIA
33,Bacia,54357,54362,B-BACIA
34,Potiguar,54363,54371,I-BACIA
35,Potiguar,54793,54801,B-BACIA
36,Bacia,55804,55809,B-BACIA
37,Potiguar,55810,55818,I-BACIA
38,Eocene,56005,56011,B-UNIDADE_CRONO
39,Bacia,56376,56381,B-BACIA
40,Potiguar,56382,56390,I-BACIA
41,Eocene,56577,56583,B-UNIDADE_CRONO
42,cretácea,57126,57134,B-UNIDADE_CRONO
43,Bacia,57138,57143,B-BACIA
44,Potiguar,57144,57152,I-BACIA
45,Formação,58232,58240,B-UNIDADE_LITO
46,Açu,58241,58244,I-UNIDADE_LITO
47,Bacia,58247,58252,B-BACIA
48,Potiguar,58253,58261,I-BACIA
49,cretácea,59326,59334,B-UNIDADE_CRONO
50,Bacia,59338,59343,B-BACIA
51,Potiguar,59344,59352,I-BACIA
52,Formação,59979,59987,B-UNIDADE_LITO
53,Açu,59988,59991,I-UNIDADE_LITO
54,Bacia,59994,59999,B-BACIA
55,Potiguar,60000,60008,I-BACIA
