,TEXT,START,END,LABEL
0,Santos,382,388,B-BACIA
1,Santos,2694,2700,B-BACIA
2,Santos,3194,3200,B-BACIA
3,Campos,3222,3228,B-BACIA
4,Espírito,3230,3238,B-BACIA
5,Santos,4661,4667,B-BACIA
6,Basin,4668,4673,I-BACIA
7,Campos,4936,4942,B-BACIA
8,Basin,4943,4948,I-BACIA
9,Pelotas,4998,5005,B-BACIA
10,Basin,5006,5011,I-BACIA
11,Santos,5222,5228,B-BACIA
12,Santos,6483,6489,B-BACIA
13,Campos,8627,8633,B-BACIA
14,Campos,16497,16503,B-BACIA
15,Basin,16504,16509,I-BACIA
16,mudstones,33263,33272,B-ROCHA
17,mudstones,33685,33694,B-ROCHA
18,Aptiano,51381,51388,B-UNIDADE_CRONO
19,Eocretáceo,51398,51408,B-UNIDADE_CRONO
20,bacias,51535,51541,B-BACIA
21,calcárias,52128,52137,B-ROCHA
22,microbiana,52148,52158,B-UNIDADE_CRONO
23,Formação,52187,52195,B-UNIDADE_LITO
24,Yacoraite,52196,52205,I-UNIDADE_LITO
25,Santos,54202,54208,B-BACIA
26,hidrocarbonetos,56439,56454,B-FLUIDODATERRA
27,Bacia,56458,56463,B-BACIA
28,de,56464,56466,I-BACIA
29,Santos,56467,56473,I-BACIA
30,Campos,56818,56824,B-BACIA
31,Andar,57227,57232,B-UNIDADE_CRONO
32,Aptiano,57233,57240,I-UNIDADE_CRONO
33,Campos,57610,57616,B-BACIA
34,Santos,58758,58764,B-BACIA
35,bacia,59020,59025,B-BACIA
36,de,59026,59028,I-BACIA
37,Santos,59029,59035,I-BACIA
38,poços,59092,59097,B-POÇO
39,Santos,60697,60703,B-BACIA
40,Aptianos,61462,61470,B-UNIDADE_CRONO
41,Grupo,61486,61491,B-UNIDADE_LITO
42,Lagoa,61492,61497,I-UNIDADE_LITO
43,Feia,61498,61502,I-UNIDADE_LITO
44,Bacia,61515,61520,B-BACIA
45,de,61521,61523,I-BACIA
46,Campos,61524,61530,I-BACIA
47,Campos,62888,62894,B-BACIA
48,Campos,63590,63596,B-BACIA
49,Bacia,64829,64834,B-BACIA
50,de,64835,64837,I-BACIA
51,Santos,64838,64844,I-BACIA
52,Bacias,65113,65119,B-BACIA
53,de,65120,65122,I-BACIA
54,Santos,65123,65129,I-BACIA
55,Pelotas,65132,65139,B-BACIA
56,maastrichtianos,65302,65317,B-UNIDADE_CRONO
57,Formação,65321,65329,B-UNIDADE_LITO
58,Yacoraite,65330,65339,I-UNIDADE_LITO
59,Bacia,65341,65346,B-BACIA
60,de,65347,65349,I-BACIA
61,Salta,65350,65355,I-BACIA
62,Bacia,65610,65615,B-BACIA
63,de,65616,65618,I-BACIA
64,Santos,65619,65625,I-BACIA
65,Bacias,65645,65651,B-BACIA
66,Sedimentares,65652,65664,I-BACIA
67,Bacia,67198,67203,B-BACIA
68,de,67204,67206,I-BACIA
69,Santos,67207,67213,I-BACIA
70,Pelotas,68757,68764,B-BACIA
71,Basin,68765,68770,I-BACIA
72,rochas,69156,69162,B-ROCHA
73,carbonáticas,69163,69175,I-ROCHA
74,bacias,69190,69196,B-BACIA
