,TEXT,START,END,LABEL
0,Santos,364,370,B-BACIA
1,Santos,1509,1515,B-BACIA
2,Basin,1516,1521,I-BACIA
3,Santos,1897,1903,B-BACIA
4,Santos,2760,2766,B-BACIA
5,Santos,3225,3231,B-BACIA
6,Santos,4787,4793,B-BACIA
7,Santos,6683,6689,B-BACIA
8,Santos,7535,7541,B-BACIA
9,Santos,8240,8246,B-BACIA
10,Santos,19872,19878,B-BACIA
11,Bacia,21117,21122,B-BACIA
12,de,21123,21125,I-BACIA
13,Santos,21126,21132,I-BACIA
14,Poços,21189,21194,B-POÇO
15,Santos,21396,21402,B-BACIA
16,Basin,21403,21408,I-BACIA
17,Bacia,22137,22142,B-BACIA
18,de,22143,22145,I-BACIA
19,Santos,22146,22152,I-BACIA
20,Santos,22381,22387,B-BACIA
21,Santos,22577,22583,B-BACIA
22,Santos,23253,23259,B-BACIA
23,Basin,23260,23265,I-BACIA
24,Santos,24580,24586,B-BACIA
25,Formação,24943,24951,B-UNIDADE_LITO
26,Ariri,24952,24957,I-UNIDADE_LITO
27,Poços,24978,24983,B-POÇO
