,TEXT,START,END,LABEL
0,Campos,4076,4082,B-BACIA
1,Marlim,4223,4229,B-CAMPO
2,Albacora,4231,4239,B-CAMPO
3,Leste,4240,4245,I-CAMPO
4,Roncador,4247,4255,B-CAMPO
5,Sergipe/Alagoas,5122,5137,B-BACIA
6,Basin,5138,5143,I-BACIA
7,Campos,12037,12043,B-BACIA
8,Basin,12044,12049,I-BACIA
9,Campos,24224,24230,B-BACIA
10,Campos,37719,37725,B-BACIA
11,Basin,37726,37731,I-BACIA
12,Campos,37883,37889,B-BACIA
13,Basin,37890,37895,I-BACIA
14,campos,38147,38153,B-CAMPO
15,rochas,38586,38592,B-ROCHA
16,Marlim,40401,40407,B-CAMPO
