,TEXT,START,END,LABEL
0,evaporitos,1306,1316,B-ROCHA
1,Aptiano,1338,1345,B-UNIDADE_CRONO
2,poços,1563,1568,B-POÇO
3,1-SPS-52A,1570,1579,B-POÇO
4,1-RJS-617D,1582,1592,B-POÇO
5,Bacia,1594,1599,B-BACIA
6,de,1600,1602,I-BACIA
7,Santos,1603,1609,I-BACIA
8,Formação,1696,1704,B-UNIDADE_LITO
9,Guarujá,1705,1712,I-UNIDADE_LITO
10,bacia,1716,1721,B-BACIA
11,Formação,1782,1790,B-UNIDADE_LITO
12,Barra,1791,1796,I-UNIDADE_LITO
13,Velha,1797,1802,I-UNIDADE_LITO
14,poços,1815,1820,B-POÇO
15,formações,1866,1875,B-UNIDADE_LITO
16,Barra,1876,1881,I-UNIDADE_LITO
17,Velha,1882,1887,I-UNIDADE_LITO
18,Ariri,1889,1894,I-UNIDADE_LITO
19,Guarujá,1897,1904,I-UNIDADE_LITO
20,idade,1936,1941,B-UNIDADE_CRONO
21,Aptiano,1942,1949,I-UNIDADE_CRONO
22,Formação,2134,2142,B-UNIDADE_LITO
23,Barra,2143,2148,I-UNIDADE_LITO
24,Velha,2149,2154,I-UNIDADE_LITO
25,Formação,2212,2220,B-UNIDADE_LITO
26,Ariri,2221,2226,I-UNIDADE_LITO
27,Formação,2245,2253,B-UNIDADE_LITO
28,Guarujá,2254,2261,I-UNIDADE_LITO
29,Formação,2324,2332,B-UNIDADE_LITO
30,Guarujá,2333,2340,I-UNIDADE_LITO
31,bacias,2540,2546,B-BACIA
32,de,2547,2549,I-BACIA
33,Santos,2550,2556,I-BACIA
34,Campos,2559,2565,B-BACIA
35,idade,2662,2667,B-UNIDADE_CRONO
36,Aptiano,2668,2675,I-UNIDADE_CRONO
37,Andar,2677,2682,B-UNIDADE_CRONO
38,Alagoas,2683,2690,I-UNIDADE_CRONO
39,bacias,2717,2723,B-BACIA
40,evaporitos,2828,2838,B-ROCHA
41,bacias,2915,2921,B-BACIA
42,Aptiano,3124,3131,B-UNIDADE_CRONO
43,Formação,3208,3216,B-UNIDADE_LITO
44,Ariri,3217,3222,I-UNIDADE_LITO
45,Bacia,3226,3231,B-BACIA
46,de,3232,3234,I-BACIA
47,Santos,3235,3241,I-BACIA
48,Formação,3245,3253,B-UNIDADE_LITO
49,Retiro,3254,3260,I-UNIDADE_LITO
50,Ariri,3261,3266,I-UNIDADE_LITO
51,Bacia,3270,3275,B-BACIA
52,de,3276,3278,I-BACIA
53,Campos,3279,3285,I-BACIA
54,Formação,3289,3297,B-UNIDADE_LITO
55,Mariricu/Membro,3298,3313,I-UNIDADE_LITO
56,bacias,3326,3332,B-BACIA
57,de,3333,3335,I-BACIA
58,Espírito,3336,3344,I-BACIA
59,Santo,3345,3350,I-BACIA
60,Mucuri,3352,3358,B-BACIA
61,Cumuruxatiba,3360,3372,B-BACIA
62,Jequitinhonha,3375,3388,B-BACIA
63,Formação,3392,3400,B-UNIDADE_LITO
64,Taipús-mirim,3401,3413,I-UNIDADE_LITO
65,Igrapiúna,3421,3430,I-UNIDADE_LITO
66,Bacia,3434,3439,B-BACIA
67,de,3440,3442,I-BACIA
68,Camamu,3443,3449,I-BACIA
69,Almada,3451,3457,B-BACIA
70,Jacuípe,3459,3466,B-BACIA
71,Formação,3470,3478,B-UNIDADE_LITO
72,Muribeca,3479,3487,I-UNIDADE_LITO
73,Membro,3488,3494,B-UNIDADE_LITO
74,Ibura,3495,3500,I-UNIDADE_LITO
75,Bacia,3504,3509,B-BACIA
76,de,3510,3512,I-BACIA
77,Sergipe-Alagoas,3513,3528,I-BACIA
78,Formação,3532,3540,B-UNIDADE_LITO
79,Loeme,3541,3546,I-UNIDADE_LITO
80,Bacia,3550,3555,B-BACIA
81,de,3556,3558,I-BACIA
82,Kuanza,3559,3565,I-BACIA
83,Congo,3574,3579,I-BACIA
84,Formação,3583,3591,B-UNIDADE_LITO
85,Ezanga,3592,3598,I-UNIDADE_LITO
86,Bacia,3602,3607,B-BACIA
87,do,3608,3610,I-BACIA
88,Gabão,3611,3616,I-BACIA
89,Formação,3685,3693,B-UNIDADE_LITO
90,Ariri,3694,3699,I-UNIDADE_LITO
91,Idade,3938,3943,B-UNIDADE_CRONO
