,TEXT,START,END,LABEL
0,Campo,1940,1945,B-CAMPO
1,Lacustre,1946,1954,I-CAMPO
2,bacias,2003,2009,B-BACIA
3,Bacia,2074,2079,B-BACIA
4,de,2080,2082,I-BACIA
5,Tremp-Graus,2083,2094,I-BACIA
6,Bacia,2098,2103,B-BACIA
7,de,2104,2106,I-BACIA
8,Áger,2107,2111,I-BACIA
9,Bacia,2116,2121,B-BACIA
10,do,2122,2124,I-BACIA
11,Ebro,2125,2129,I-BACIA
12,bacias,2134,2140,B-BACIA
13,de,2141,2143,I-BACIA
14,Tremp-Graus,2144,2155,I-BACIA
15,Áger,2158,2162,B-BACIA
16,Cretáceo,2201,2209,B-UNIDADE_CRONO
17,inferior,2210,2218,I-UNIDADE_CRONO
18,Oligoceno,2223,2232,B-UNIDADE_CRONO
19,bacias,2261,2267,B-BACIA
20,rocha,2416,2421,B-ROCHA
21,bacias,2520,2526,B-BACIA
22,de,2527,2529,I-BACIA
23,Tremp-Graus,2530,2541,I-BACIA
24,bacias,2740,2746,B-BACIA
25,Grupo,2756,2761,B-UNIDADE_LITO
26,Alveolina,2762,2771,I-UNIDADE_LITO
27,Paleoceno,2773,2782,B-UNIDADE_CRONO
28,–,2783,2784,I-UNIDADE_CRONO
29,Eoceno,2785,2791,B-UNIDADE_CRONO
30,inferior,2792,2800,I-UNIDADE_CRONO
31,Grupo,2806,2811,B-UNIDADE_LITO
32,Figols,2812,2818,I-UNIDADE_LITO
33,Eoceno,2820,2826,B-UNIDADE_CRONO
34,inferior,2827,2835,I-UNIDADE_CRONO
35,Grupo,2841,2846,B-UNIDADE_LITO
36,Castigaleu,2847,2857,I-UNIDADE_LITO
37,Eoceno,2859,2865,B-UNIDADE_CRONO
38,inferior,2866,2874,I-UNIDADE_CRONO
39,Grupo,2880,2885,B-UNIDADE_LITO
40,Castissent,2886,2896,I-UNIDADE_LITO
41,Eoceno,2898,2904,B-UNIDADE_CRONO
42,inferior,2905,2913,I-UNIDADE_CRONO
43,Grupo,2919,2924,B-UNIDADE_LITO
44,Santaliestra,2925,2937,I-UNIDADE_LITO
45,Eoceno,2939,2945,B-UNIDADE_CRONO
46,inferior,2946,2954,I-UNIDADE_CRONO
47,Grupo,2969,2974,B-UNIDADE_LITO
48,Campodarbe,2975,2985,I-UNIDADE_LITO
49,Eoceno,2987,2993,B-UNIDADE_CRONO
50,médio,2994,2999,I-UNIDADE_CRONO
51,Bacia,3015,3020,B-BACIA
52,do,3021,3023,I-BACIA
53,Ebro,3024,3028,I-BACIA
54,bacias,3078,3084,B-BACIA
55,Oligoceno,3119,3128,B-UNIDADE_CRONO
56,bacias,3163,3169,B-BACIA
57,Bacia,3226,3231,B-BACIA
58,do,3232,3234,I-BACIA
59,Ebro,3235,3239,I-BACIA
60,rochas,3377,3383,B-ROCHA
61,bacias,3686,3692,B-BACIA
62,hidrocarbonetos,3926,3941,B-FLUIDODATERRA
63,bacias,4121,4127,B-BACIA
64,rochas,4187,4193,B-ROCHA
65,bacias,4551,4557,B-BACIA
