,TEXT,START,END,LABEL
0,poço,671,675,B-POÇO
1,estratigrafico,676,690,B-POÇO
2,poço,695,699,B-POÇO
3,pioneiro,700,708,B-POÇO
4,poço,1087,1091,B-POÇO
5,pioneiro,1126,1134,B-POÇO
6,Reconcavo,1254,1263,B-BACIA
7,poços,1508,1513,B-POÇO
8,pioneiros,2317,2326,B-POÇO
9,poços,2466,2471,B-POÇO
10,poços,2680,2685,B-POÇO
11,poços,3242,3247,B-POÇO
12,pioneiros,3337,3346,B-POÇO
13,©leo,3585,3589,B-FLUIDODATERRA
14,gás,3593,3596,B-FLUIDODATERRA
15,óleo,4695,4699,B-FLUIDODATERRA
16,Reconcavo,4722,4731,B-BACIA
17,C-15,5504,5508,B-POÇO
18,poços,5601,5606,B-POÇO
19,Brotas,5684,5690,I-UNIDADE_LITO
20,rochas,7846,7852,B-ROCHA
21,poço,8608,8612,B-POÇO
22,Candeias,9060,9068,B-CAMPO
23,arenitos,9250,9258,B-ROCHA
24,Candeias,9323,9331,B-CAMPO
25,Itaparica,9380,9389,B-CAMPO
26,arenito,9413,9420,B-ROCHA
27,arenito,9421,9428,B-ROCHA
28,Candeias,9510,9518,B-CAMPO
29,arenito,9651,9658,B-ROCHA
30,arenito,9826,9833,B-ROCHA
31,formação,9837,9845,B-UNIDADE_LITO
32,Santo,9846,9851,I-UNIDADE_LITO
33,Amaro,9852,9857,I-UNIDADE_LITO
34,Candeias,9879,9887,B-CAMPO
35,Candeias,9932,9940,B-CAMPO
36,Candeias,10214,10222,B-CAMPO
37,Reconcavo,10311,10320,B-BACIA
38,bacia,10355,10360,B-BACIA
39,poços,10391,10396,B-POÇO
40,Pojuca,14624,14630,B-BACIA
41,areia,18593,18598,B-NÃOCONSOLID
42,Lobato,22786,22792,B-CAMPO
43,Aratu,22797,22802,B-CAMPO
44,Itaparica,22898,22907,B-CAMPO
45,Jequi,23400,23405,B-UNIDADE_CRONO
46,Dom,26330,26333,B-CAMPO
47,areia,26835,26840,B-NÃOCONSOLID
48,Pojuca,32200,32206,B-BACIA
49,poço,37573,37577,B-POÇO
50,estratigrafico,37578,37592,B-POÇO
51,poço,37597,37601,B-POÇO
52,pioneiro,37602,37610,B-POÇO
53,poço,37988,37992,B-POÇO
54,pioneiro,38027,38035,B-POÇO
55,Reconcavo,38159,38168,B-BACIA
56,poços,38414,38419,B-POÇO
57,pioneiros,39222,39231,B-POÇO
58,poços,39372,39377,B-POÇO
59,poços,39586,39591,B-POÇO
60,poços,40144,40149,B-POÇO
61,pioneiros,40238,40247,B-POÇO
62,óleo,40484,40488,B-FLUIDODATERRA
63,Reconcavo,41647,41656,B-BACIA
64,C-1,42404,42407,B-POÇO
65,C-15,42432,42436,B-POÇO
66,poços,42529,42534,B-POÇO
67,rochas,44775,44781,B-ROCHA
68,S.,45478,45480,I-UNIDADE_LITO
69,Sebastião,45481,45490,I-UNIDADE_LITO
70,Ilhas,45493,45498,I-UNIDADE_LITO
71,poço,45539,45543,B-POÇO
72,Ilhas,45564,45569,I-UNIDADE_LITO
73,arenitos,46182,46190,B-ROCHA
74,Candeias,46255,46263,B-CAMPO
75,arenito,46347,46354,B-ROCHA
76,Candeias,46436,46444,B-CAMPO
77,arenito,46577,46584,B-ROCHA
78,campos,46678,46684,B-CAMPO
79,Candeias,46696,46704,B-CAMPO
80,Santo,46706,46711,B-CAMPO
81,Restinga,46722,46730,B-CAMPO
82,arenito,46748,46755,B-ROCHA
83,formação,46759,46767,B-UNIDADE_LITO
84,Santo,46768,46773,I-UNIDADE_LITO
85,Amaro,46774,46779,I-UNIDADE_LITO
86,Candeias,46801,46809,B-CAMPO
87,formações,46892,46901,B-UNIDADE_LITO
88,Ilhas,46902,46907,I-UNIDADE_LITO
89,Sebastigo,46915,46924,I-UNIDADE_LITO
90,Reconoavo,47179,47188,B-BACIA
91,bacia,47223,47228,B-BACIA
92,poços,47259,47264,B-POÇO
