,TEXT,START,END,LABEL
0,FORMAÇÕES,532,541,B-UNIDADE_LITO
1,areni-Carapebus,1021,1036,B-ROCHA
2,óleo,1109,1113,B-FLUIDODATERRA
3,arenito,1117,1124,B-ROCHA
4,óleo,1202,1206,B-FLUIDODATERRA
5,arenito,1210,1217,B-ROCHA
6,Campo,1439,1444,B-CAMPO
7,Campo,1572,1577,B-CAMPO
8,Enchova-Bonito,1578,1592,I-CAMPO
9,poço,1845,1849,B-POÇO
10,4-RJS-38,1850,1858,I-POÇO
11,poço,1902,1906,B-POÇO
12,7-EN-6-RJS,1907,1917,I-POÇO
13,poço,1951,1955,B-POÇO
14,7-EN-7D-RJS,1956,1967,I-POÇO
15,poço,2007,2011,B-POÇO
16,7-EN-8D-RJS,2012,2023,I-POÇO
17,poço,2059,2063,B-POÇO
18,7-EN-9D-RJS,2064,2075,I-POÇO
19,poço,2107,2111,B-POÇO
20,7-EN-10D-RJS,2112,2124,I-POÇO
21,poço,2160,2164,B-POÇO
22,7-EN-14D-RJS,2165,2177,I-POÇO
23,7-BO-1D-RJS,2214,2225,B-POÇO
24,poço,2270,2274,B-POÇO
25,3-EN-11-RJS,2275,2286,I-POÇO
26,poço,2319,2323,B-POÇO
27,3-BO-3-RJS,2324,2334,I-POÇO
28,poços,2390,2395,B-POÇO
29,poços,2479,2484,B-POÇO
30,poços,2573,2578,B-POÇO
31,poço,2672,2676,B-POÇO
32,produtor,2677,2685,B-POÇO
33,-,2689,2690,B-FLUIDODATERRA
34,poço,2933,2937,B-POÇO
35,gás,2941,2944,B-FLUIDODATERRA
36,gás,2993,2996,B-FLUIDODATERRA
37,poço,3223,3227,B-POÇO
38,3-EN-6-RJS,3228,3238,I-POÇO
39,poço,3337,3341,B-POÇO
40,7-EN-7D-RJS,3342,3353,I-POÇO
41,poços,3741,3746,B-POÇO
42,Campo,3920,3925,B-CAMPO
43,de,3926,3928,I-CAMPO
44,Bonito,3929,3935,I-CAMPO
45,Bacia,3951,3956,B-BACIA
46,de,3957,3959,I-BACIA
47,Campos,3960,3966,I-BACIA
48,poço,4123,4127,B-POÇO
49,1-RJS-29,4128,4136,I-POÇO
50,óleo,4152,4156,B-FLUIDODATERRA
51,Formação,4160,4168,B-UNIDADE_LITO
52,Macaé,4169,4174,I-UNIDADE_LITO
53,poço,4200,4204,B-POÇO
54,poço,4340,4344,B-POÇO
55,3-EN-1-RJS,4345,4355,I-POÇO
56,poço,4366,4370,B-POÇO
57,Enchova,4521,4528,B-CAMPO
58,poço,4573,4577,B-POÇO
59,3-EN-4-RJS,4578,4588,I-POÇO
60,campo,4633,4638,B-CAMPO
61,poço,4809,4813,B-POÇO
62,4-RJS-38,4814,4822,I-POÇO
63,poço,4994,4998,B-POÇO
64,7-EN-6-RJS,4999,5009,I-POÇO
65,Campo,5060,5065,B-CAMPO
66,de,5066,5068,I-CAMPO
67,Enchova,5069,5076,I-CAMPO
68,Campo,5089,5094,B-CAMPO
69,de,5095,5097,I-CAMPO
70,Bonito,5098,5104,I-CAMPO
71,Campo,5119,5124,B-CAMPO
72,de,5125,5127,I-CAMPO
73,Enchova,5128,5135,I-CAMPO
74,Campo,5148,5153,B-CAMPO
75,de,5154,5156,I-CAMPO
76,Bonito,5157,5163,I-CAMPO
77,poço,5249,5253,B-POÇO
78,4-RJS-38,5254,5262,I-POÇO
79,poço,5275,5279,B-POÇO
80,7-EN-7D-RJS,5316,5327,B-POÇO
81,petróleo,5348,5356,B-FLUIDODATERRA
82,poços,5567,5572,B-POÇO
83,Enchova,5600,5607,B-CAMPO
84,Enchova-Leste,5613,5626,B-CAMPO
85,Bonito,5674,5680,B-CAMPO
86,Campo,5712,5717,B-CAMPO
87,de,5718,5720,I-CAMPO
88,Bonito,5721,5727,I-CAMPO
89,Arenito,5729,5736,B-ROCHA
90,Carapebus,5737,5746,I-ROCHA
91,poço,5808,5812,B-POÇO
92,4-RJS-38,5813,5821,I-POÇO
93,poço,5825,5829,B-POÇO
94,3-EN-11-RJS,5830,5841,I-POÇO
95,poço,5897,5901,B-POÇO
96,1-RJS-29,5902,5910,I-POÇO
97,campo,5986,5991,B-CAMPO
98,poços,6029,6034,B-POÇO
99,poço,6138,6142,B-POÇO
100,3-BO-2-RJS,6143,6153,I-POÇO
101,Campo,6193,6198,B-CAMPO
102,Campo,6257,6262,B-CAMPO
103,de,6263,6265,I-CAMPO
104,Bonito,6266,6272,I-CAMPO
105,SS-8,6313,6317,B-POÇO
106,Poços,6413,6418,B-POÇO
107,Arenito,6508,6515,B-ROCHA
108,Arenito,6650,6657,B-ROCHA
109,Poços,6721,6726,B-POÇO
110,4-RJS-38,6769,6777,B-POÇO
111,Arenito,6792,6799,B-ROCHA
112,3-BO-3-RJS,6822,6832,B-POÇO
113,Arenito,6876,6883,B-ROCHA
114,7-EN-6-RJS,6908,6918,B-POÇO
115,Poços,6919,6924,B-POÇO
116,SS-8,6962,6966,B-POÇO
117,7-BO-5-RJS,6972,6982,B-POÇO
118,Arenito,7077,7084,B-ROCHA
119,poços,7110,7115,B-POÇO
120,7-EN-8D-RJS,7116,7127,I-POÇO
121,7-EN-14D-RJS,7130,7142,B-POÇO
122,Arenito,7167,7174,B-ROCHA
123,Carapebus,7175,7184,I-ROCHA
124,Campo,7293,7298,B-CAMPO
125,óleo,7354,7358,B-FLUIDODATERRA
126,gás,7379,7382,B-FLUIDODATERRA
127,poços,7420,7425,B-POÇO
128,Arenito,7441,7448,B-ROCHA
129,Carapebus,7449,7458,I-ROCHA
130,poços,7479,7484,B-POÇO
131,óleo,7618,7622,B-FLUIDODATERRA
132,gás,7687,7690,B-FLUIDODATERRA
133,Campo,7948,7953,B-CAMPO
134,óleo,8009,8013,B-FLUIDODATERRA
135,gás,8065,8068,B-FLUIDODATERRA
136,óleo,8129,8133,B-FLUIDODATERRA
137,gás,8169,8172,B-FLUIDODATERRA
138,poços,8454,8459,B-POÇO
139,poços,8481,8486,B-POÇO
140,óleo,8501,8505,B-FLUIDODATERRA
141,poços,8540,8545,B-POÇO
142,óleo,8560,8564,B-FLUIDODATERRA
143,poço,8569,8573,B-POÇO
