,TEXT,START,END,LABEL
0,Campo,264,269,B-CAMPO
1,de,270,272,I-CAMPO
2,Linguado,273,281,I-CAMPO
3,Campo,565,570,B-CAMPO
4,de,571,573,I-CAMPO
5,Linguado,574,582,I-CAMPO
6,Campo,758,763,B-CAMPO
7,Calcário,858,866,B-ROCHA
8,Coquinas,878,886,B-ROCHA
9,poços,1098,1103,B-POÇO
10,óleo,1286,1290,B-FLUIDODATERRA
11,gás,1293,1296,B-FLUIDODATERRA
12,Linguado,1311,1319,B-CAMPO
13,óleo,1427,1431,B-FLUIDODATERRA
14,coquinas,1454,1462,B-ROCHA
15,basalto,1465,1472,B-ROCHA
16,óleo,1476,1480,B-FLUIDODATERRA
17,Campo,1772,1777,B-CAMPO
18,de,1778,1780,I-CAMPO
19,Linguado,1781,1789,I-CAMPO
20,Campos,1880,1886,B-BACIA
21,Badejo,2021,2027,B-CAMPO
22,Campo,2209,2214,B-CAMPO
23,de,2215,2217,I-CAMPO
24,Linguado,2218,2226,I-CAMPO
25,óleo,2341,2345,B-FLUIDODATERRA
26,gás,2348,2351,B-FLUIDODATERRA
27,Campos,2359,2365,B-BACIA
28,poços,2716,2721,B-POÇO
29,Campo,2725,2730,B-CAMPO
30,de,2731,2733,I-CAMPO
31,Linguado,2734,2742,I-CAMPO
32,Campo,3057,3062,B-CAMPO
33,de,3063,3065,I-CAMPO
34,Linguado,3066,3074,I-CAMPO
35,Rochas,3111,3117,B-ROCHA
36,Formação,3154,3162,B-UNIDADE_LITO
37,Macaé,3163,3168,I-UNIDADE_LITO
38,basalto,3175,3182,B-ROCHA
39,Coquinas,3191,3199,B-ROCHA
40,formação,3203,3211,B-UNIDADE_LITO
41,Lagoa,3212,3217,I-UNIDADE_LITO
42,Feia,3218,3222,I-UNIDADE_LITO
43,Campo,3260,3265,B-CAMPO
44,de,3266,3268,I-CAMPO
45,Linguado,3269,3277,I-CAMPO
46,Formação,3298,3306,B-UNIDADE_LITO
47,Lagoa,3307,3312,I-UNIDADE_LITO
48,Feia,3313,3317,I-UNIDADE_LITO
49,Coquinas,3523,3531,B-ROCHA
50,óleo,3592,3596,B-FLUIDODATERRA
51,poços,3770,3775,B-POÇO
52,poços,3941,3946,B-POÇO
53,7-LI-03-RJS,3989,4000,B-POÇO
54,3-RJS-157,4003,4012,B-POÇO
55,Cretãcio,4058,4066,B-UNIDADE_CRONO
56,poços,4170,4175,B-POÇO
57,basalto,4246,4253,B-ROCHA
58,Linguado,4275,4283,B-CAMPO
59,7-LI-07-RJS,4371,4382,B-POÇO
60,Campo,4465,4470,B-CAMPO
61,de,4471,4473,I-CAMPO
62,Linguado,4474,4482,I-CAMPO
63,óleo,4575,4579,B-FLUIDODATERRA
64,campo,4592,4597,B-CAMPO
65,gás,4634,4637,B-FLUIDODATERRA
66,Linguado,4971,4979,B-CAMPO
67,poços,5357,5362,B-POÇO
68,produtores,5363,5373,B-POÇO
69,Linguado,5754,5762,B-CAMPO
70,poços,5786,5791,B-POÇO
71,poços,5811,5816,B-POÇO
72,PA-06,6703,6708,B-POÇO
73,óleo,6833,6837,B-FLUIDODATERRA
74,poços,8359,8364,B-POÇO
75,poços,8384,8389,B-POÇO
76,Campos,8582,8588,B-BACIA
77,Linguado,9049,9057,B-CAMPO
78,Bacia,9089,9094,B-BACIA
79,de,9095,9097,I-BACIA
80,Campos,9098,9104,I-BACIA
81,SS-19,9232,9237,B-POÇO
82,gás,9361,9364,B-FLUIDODATERRA
83,poços,9467,9472,B-POÇO
84,poço,9582,9586,B-POÇO
85,Linguado,9662,9670,B-CAMPO
86,óleo,9695,9699,B-FLUIDODATERRA
87,gás,9721,9724,B-FLUIDODATERRA
88,poços,9739,9744,B-POÇO
89,poço,9832,9836,B-POÇO
90,3-RJS-157C,10081,10091,B-POÇO
91,óleo,10139,10143,B-FLUIDODATERRA
92,Linguado,10154,10162,B-CAMPO
93,óleo,10359,10363,B-FLUIDODATERRA
94,gas,10502,10505,B-FLUIDODATERRA
95,PPM-1,10580,10585,B-POÇO
