,TEXT,START,END,LABEL
0,poços,140,145,B-POÇO
1,Campo,195,200,B-CAMPO
2,de,201,203,I-CAMPO
3,Albacora,204,212,I-CAMPO
4,poços,306,311,B-POÇO
5,poços,413,418,B-POÇO
6,poços,454,459,B-POÇO
7,AB-2,460,464,I-POÇO
8,RJS-305,466,473,B-POÇO
9,RJS-33,509,515,B-POÇO
10,poços,558,563,B-POÇO
11,arenitos,601,609,B-ROCHA
12,Oligoceno,620,629,B-UNIDADE_CRONO
13,RJS-305,641,648,B-POÇO
14,Oligoceno,651,660,B-UNIDADE_CRONO
15,2,661,662,I-UNIDADE_CRONO
16,arenito,764,771,B-ROCHA
17,Oligoceno,772,781,B-UNIDADE_CRONO
18,2,782,783,I-UNIDADE_CRONO
19,arenito,818,825,B-ROCHA
20,Oligoceno,826,835,B-UNIDADE_CRONO
21,1,836,837,I-UNIDADE_CRONO
22,Oligoceno,911,920,B-UNIDADE_CRONO
23,1,921,922,I-UNIDADE_CRONO
24,poços,934,939,B-POÇO
25,poços,1321,1326,B-POÇO
26,Campo,1439,1444,B-CAMPO
27,P,1917,1918,B-POÇO
28,1,1919,1920,I-POÇO
29,poço,2278,2282,B-POÇO
30,RJS-368,2283,2290,I-POÇO
31,poços,2327,2332,B-POÇO
32,AB-3,2333,2337,I-POÇO
33,RJS-371,2340,2347,B-POÇO
34,hidrocarbonetos,2383,2398,B-FLUIDODATERRA
35,Campo,2576,2581,B-CAMPO
36,de,2582,2584,I-CAMPO
37,Albacora,2585,2593,I-CAMPO
38,Bacia,2670,2675,B-BACIA
39,de,2676,2678,I-BACIA
40,Campos,2679,2685,I-BACIA
41,poço,2811,2815,B-POÇO
42,1-RJS-342,2816,2825,I-POÇO
43,Bacia,2899,2904,B-BACIA
44,Campo,2923,2928,B-CAMPO
45,Albacora,2959,2967,B-CAMPO
46,poço,3012,3016,B-POÇO
47,1-RJS-117,3017,3026,I-POÇO
48,Bacia,3179,3184,B-BACIA
49,de,3185,3187,I-BACIA
50,Campos,3188,3194,I-BACIA
51,arenitos,3262,3270,B-ROCHA
52,Cretáceo,3306,3314,B-UNIDADE_CRONO
53,Mioceno,3321,3328,B-UNIDADE_CRONO
54,Campo,3391,3396,B-CAMPO
55,poços,3539,3544,B-POÇO
56,Campo,3548,3553,B-CAMPO
57,de,3554,3556,I-CAMPO
58,Albacora,3557,3565,I-CAMPO
59,calcarenitos,3690,3702,B-ROCHA
60,Formação,3707,3715,B-UNIDADE_LITO
61,Macaé,3716,3721,I-UNIDADE_LITO
62,Formação,3756,3764,B-UNIDADE_LITO
63,Campos,3765,3771,I-UNIDADE_LITO
64,poço,3828,3832,B-POÇO
65,l-RJS-297,3833,3842,I-POÇO
66,Formação,3901,3909,B-UNIDADE_LITO
67,Macaé,3910,3915,I-UNIDADE_LITO
68,calcários,3981,3990,B-ROCHA
69,poço,4012,4016,B-POÇO
70,arenitos,4040,4048,B-ROCHA
71,cretácicos,4049,4059,B-UNIDADE_CRONO
72,Namorado,4068,4076,B-CAMPO
73,óleo,4133,4137,B-FLUIDODATERRA
74,arenito,4190,4197,B-ROCHA
75,poço,4378,4382,B-POÇO
76,l-RJS-305,4383,4392,I-POÇO
77,poço,4433,4437,B-POÇO
78,l-RJS-297,4438,4447,I-POÇO
79,óleo,4473,4477,B-FLUIDODATERRA
80,arenitos,4482,4490,B-ROCHA
81,Namorado,4496,4504,B-CAMPO
82,óleo,4546,4550,B-FLUIDODATERRA
83,arenitos,4559,4567,B-ROCHA
84,Membro,4584,4590,B-UNIDADE_LITO
85,Carape,4591,4597,I-UNIDADE_LITO
86,Formação,4605,4613,B-UNIDADE_LITO
87,Campos,4614,4620,I-UNIDADE_LITO
88,Membro,4670,4676,B-UNIDADE_LITO
89,Carapebus,4677,4686,I-UNIDADE_LITO
90,Namorado,4815,4823,B-CAMPO
91,poço,4959,4963,B-POÇO
92,3-RJS-316,4964,4973,I-POÇO
93,arenitos,5016,5024,B-ROCHA
94,poço,5068,5072,B-POÇO
95,1-RJS-305,5073,5082,I-POÇO
96,Eoceno,5329,5335,B-UNIDADE_CRONO
97,Mioceno,5342,5349,B-UNIDADE_CRONO
98,poços,5409,5414,B-POÇO
99,4-RJS-328,5424,5433,B-POÇO
100,3-RJS-329A,5435,5445,B-POÇO
101,4-RJS-330A,5447,5457,B-POÇO
102,3-RJS-333A,5459,5469,B-POÇO
103,3-RJS-334,5471,5480,B-POÇO
104,3-RJS-335A,5482,5492,B-POÇO
105,3-RJS-343B,5494,5504,B-POÇO
106,3-AB-1A,5506,5513,B-POÇO
107,1-RJS-342,5516,5525,B-POÇO
108,poço,5613,5617,B-POÇO
109,vista,5618,5623,I-POÇO
110,3-RJS-329A,5626,5636,B-POÇO
111,óleo,5652,5656,B-FLUIDODATERRA
112,arenitos,5660,5668,B-ROCHA
113,Eoceno,5672,5678,B-UNIDADE_CRONO
114,1-RJS-342,5684,5693,B-POÇO
115,gás,5709,5712,B-FLUIDODATERRA
116,areias,5716,5722,B-NÃOCONSOLID
117,Mioceno,5726,5733,B-UNIDADE_CRONO
118,Mioceno,5818,5825,B-UNIDADE_CRONO
119,Oligoceno,5827,5836,B-UNIDADE_CRONO
120,1,5837,5838,I-UNIDADE_CRONO
121,Oligoceno,5840,5849,B-UNIDADE_CRONO
122,2,5850,5851,I-UNIDADE_CRONO
123,Namorado,5854,5862,B-CAMPO
124,areias,5880,5886,B-NÃOCONSOLID
125,Eoceno,5901,5907,B-UNIDADE_CRONO
126,poços,5969,5974,B-POÇO
127,',5975,5976,B-POÇO
128,3-RJS-329A,5976,5986,I-POÇO
129,l-RJS-342,5989,5998,B-POÇO
130,areias,6097,6103,B-NÃOCONSOLID
131,Namorado,6119,6127,B-CAMPO
132,gás,6173,6176,B-FLUIDODATERRA
133,Mioceno,6180,6187,B-UNIDADE_CRONO
134,poço,6239,6243,B-POÇO
135,descobridor,6244,6255,B-POÇO
136,1-RJS-342,6257,6266,B-POÇO
137,poços,6357,6362,B-POÇO
138,Campo,6377,6382,B-CAMPO
139,óleo,6430,6434,B-FLUIDODATERRA
140,gás,6437,6440,B-FLUIDODATERRA
141,óleo,6469,6473,B-FLUIDODATERRA
142,gás,6476,6479,B-FLUIDODATERRA
143,Campo,6704,6709,B-CAMPO
144,de,6710,6712,I-CAMPO
145,Albacora,6713,6721,I-CAMPO
146,Campo,6995,7000,B-CAMPO
147,Campo,7047,7052,B-CAMPO
148,Campo,7386,7391,B-CAMPO
149,poços,7677,7682,B-POÇO
150,óleo,7707,7711,B-FLUIDODATERRA
151,poços,7721,7726,B-POÇO
152,4-RJS-328,7728,7737,B-POÇO
153,3-RJS-329A,7739,7749,B-POÇO
154,3-RJS-334,7752,7761,B-POÇO
155,arenito,7778,7785,B-ROCHA
156,Oligoceno,7786,7795,B-UNIDADE_CRONO
157,Membro,7799,7805,B-UNIDADE_LITO
158,Carapebus,7806,7815,I-UNIDADE_LITO
159,poços,7820,7825,B-POÇO
160,1-RJS-297,7827,7836,B-POÇO
161,1,7838,7839,B-POÇO
162,4-RJS-330A,7840,7850,B-POÇO
163,3-RJS-343B,7853,7863,B-POÇO
164,arenito,7880,7887,B-ROCHA
165,Namorado,7888,7896,B-CAMPO
166,1-RJS-297,7909,7918,B-POÇO
167,Campo,7959,7964,B-CAMPO
168,poços,7973,7978,B-POÇO
169,Garoupa,8241,8248,B-CAMPO
170,poço,8261,8265,B-POÇO
171,3-RJS-343B,8266,8276,I-POÇO
172,óleo,8396,8400,B-FLUIDODATERRA
173,Campo,8480,8485,B-CAMPO
174,poços,8781,8786,B-POÇO
175,poços,8851,8856,B-POÇO
176,Garoupa,9003,9010,B-CAMPO
177,poços,9043,9048,B-POÇO
178,óleo,9132,9136,B-FLUIDODATERRA
179,óleo,9558,9562,B-FLUIDODATERRA
180,gás,9674,9677,B-FLUIDODATERRA
181,Garoupa,9810,9817,B-CAMPO
182,capaci-,9914,9921,B-POÇO
183,Bicudo,10071,10077,B-CAMPO
184,gás,10136,10139,B-FLUIDODATERRA
185,gás,10159,10162,B-FLUIDODATERRA
186,gás,10356,10359,B-FLUIDODATERRA
187,gás,10666,10669,B-FLUIDODATERRA
188,Albacora,10707,10715,B-CAMPO
189,campos,10953,10959,B-CAMPO
190,Albacora,10971,10979,B-CAMPO
191,gás,11002,11005,B-FLUIDODATERRA
192,Campo,11051,11056,B-CAMPO
193,óleo,11299,11303,B-FLUIDODATERRA
194,gás,11363,11366,B-FLUIDODATERRA
195,associado,11367,11376,I-FLUIDODATERRA
196,Campo,11464,11469,B-CAMPO
197,Campo,11776,11781,B-CAMPO
198,poços,11853,11858,B-POÇO
199,poços,12179,12184,B-POÇO
200,gás,12285,12288,B-FLUIDODATERRA
201,Campo,12434,12439,B-CAMPO
202,de,12440,12442,I-CAMPO
203,Albacora,12443,12451,I-CAMPO
204,óleo,12478,12482,B-FLUIDODATERRA
205,gás,12488,12491,B-FLUIDODATERRA
206,associado,12492,12501,I-FLUIDODATERRA
207,Albaco,12568,12574,B-CAMPO
208,poços,12693,12698,B-POÇO
209,Campo,12738,12743,B-CAMPO
210,óleo,12837,12841,B-FLUIDODATERRA
211,gás,12877,12880,B-FLUIDODATERRA
212,associado,12881,12890,I-FLUIDODATERRA
213,Campo,12894,12899,B-CAMPO
214,de,12900,12902,I-CAMPO
215,Albacora,12903,12911,I-CAMPO
216,óleo,13173,13177,B-FLUIDODATERRA
217,gás,13213,13216,B-FLUIDODATERRA
218,associado,13217,13226,I-FLUIDODATERRA
219,óleo,13303,13307,B-FLUIDODATERRA
220,gás,13396,13399,B-FLUIDODATERRA
221,gás,13682,13685,B-FLUIDODATERRA
222,gás,13712,13715,B-FLUIDODATERRA
223,Campo,13752,13757,B-CAMPO
224,Campo,13979,13984,B-CAMPO
225,gás,14032,14035,B-FLUIDODATERRA
226,Campo,14192,14197,B-CAMPO
227,de,14198,14200,I-CAMPO
228,Alba,14201,14205,I-CAMPO
229,cora,14206,14210,I-CAMPO
230,óleo,14925,14929,B-FLUIDODATERRA
231,arenito,14942,14949,B-ROCHA
232,Namorado,14950,14958,B-CAMPO
233,arenito,14987,14994,B-ROCHA
234,poços,15198,15203,B-POÇO
235,Campo,15360,15365,B-CAMPO
236,de,15366,15368,I-CAMPO
237,Albacora,15369,15377,I-CAMPO
238,poços,15788,15793,B-POÇO
239,4-RJS-328,15795,15804,B-POÇO
240,3-RJS-329A,15806,15816,B-POÇO
241,3-RJS-334,15819,15828,B-POÇO
242,are,15833,15836,B-ROCHA
243,Oligoceno,15842,15851,B-UNIDADE_CRONO
244,1,15852,15853,I-UNIDADE_CRONO
245,Membro,15857,15863,B-UNIDADE_LITO
246,Carapebus,15864,15873,I-UNIDADE_LITO
247,poços,15877,15882,B-POÇO
248,1-RJS-297,15884,15893,B-POÇO
249,4-RJS-330A,15895,15905,B-POÇO
