,TEXT,START,END,LABEL
0,Buracica,112,120,B-CAMPO
1,Buracica,595,603,B-CAMPO
2,Buracica,1063,1071,B-CAMPO
3,poço,1164,1168,B-POÇO
4,Campo,1405,1410,B-CAMPO
5,de,1411,1413,I-CAMPO
6,Buracica,1414,1422,I-CAMPO
7,poços,1703,1708,B-POÇO
8,produtores,1709,1719,B-POÇO
9,poço,1755,1759,B-POÇO
10,injetor,1760,1767,B-POÇO
11,poços,1783,1788,B-POÇO
12,BA-160,1789,1795,I-POÇO
13,óleo,2059,2063,B-FLUIDODATERRA
14,qua,2068,2071,B-UNIDADE_CRONO
15,poços,2076,2081,B-POÇO
16,poços,2257,2262,B-POÇO
17,BA-104,2263,2269,I-POÇO
18,poço,2359,2363,B-POÇO
19,poços,2634,2639,B-POÇO
20,óleos,2813,2818,B-FLUIDODATERRA
21,Buracica,2867,2875,B-CAMPO
22,óleo,2878,2882,B-FLUIDODATERRA
23,rocha,3118,3123,B-ROCHA
24,Buracica,3238,3246,B-CAMPO
25,poço,3445,3449,B-POÇO
26,poços,3631,3636,B-POÇO
27,poços,3690,3695,B-POÇO
28,BA-160,3696,3702,I-POÇO
29,poços,3767,3772,B-POÇO
30,produtores,3773,3783,B-POÇO
31,gases,3869,3874,B-FLUIDODATERRA
32,poços,3889,3894,B-POÇO
33,gases,4203,4208,B-FLUIDODATERRA
34,óleo,4450,4454,B-FLUIDODATERRA
35,gases,4626,4631,B-FLUIDODATERRA
36,poço,4918,4922,B-POÇO
37,poços,5732,5737,B-POÇO
38,gases,5748,5753,B-FLUIDODATERRA
39,petróleo,6121,6129,B-FLUIDODATERRA
40,hidrocarbonetos,6513,6528,B-FLUIDODATERRA
41,óleo,7039,7043,B-FLUIDODATERRA
42,óleo,7337,7341,B-FLUIDODATERRA
43,hidrocarbonetos,7370,7385,B-FLUIDODATERRA
44,rocha,7436,7441,B-ROCHA
45,gás,8535,8538,B-FLUIDODATERRA
46,poços,8552,8557,B-POÇO
47,produção,8561,8569,B-POÇO
48,Buracica,10243,10251,B-CAMPO
49,gás,10306,10309,B-FLUIDODATERRA
50,Poço,10512,10516,B-POÇO
51,n9,10517,10519,I-POÇO
52,1,10520,10521,I-POÇO
