,TEXT,START,END,LABEL
0,Campo,131,136,B-CAMPO
1,de,137,139,I-CAMPO
2,Namorado,140,148,I-CAMPO
3,PNA-1,363,368,B-POÇO
4,poços,373,378,B-POÇO
5,PNA-2,416,421,B-POÇO
6,poços,426,431,B-POÇO
7,poços,516,521,B-POÇO
8,Campo,558,563,B-CAMPO
9,poços,645,650,B-POÇO
10,campo,715,720,B-CAMPO
11,Campo,944,949,B-CAMPO
12,de,950,952,I-CAMPO
13,Namora,953,959,I-CAMPO
14,do,960,962,I-CAMPO
15,poços,1072,1077,B-POÇO
16,campo,1187,1192,B-CAMPO
17,poços,1448,1453,B-POÇO
18,campo,1478,1483,B-CAMPO
19,poços,1670,1675,B-POÇO
20,poços,1784,1789,B-POÇO
21,poços,2003,2008,B-POÇO
22,Campo,2167,2172,B-CAMPO
23,poços,2218,2223,B-POÇO
24,Campo,2265,2270,B-CAMPO
25,Campo,2343,2348,B-CAMPO
26,de,2349,2351,I-CAMPO
27,Namorado,2352,2360,I-CAMPO
28,poços,2619,2624,B-POÇO
29,poços,2768,2773,B-POÇO
30,Campo,2872,2877,B-CAMPO
31,poços,2924,2929,B-POÇO
32,poços,3073,3078,B-POÇO
33,gás,3403,3406,B-FLUIDODATERRA
34,gás,3415,3418,B-FLUIDODATERRA
35,gás,3460,3463,B-FLUIDODATERRA
36,Garoupa,3513,3520,B-CAMPO
37,água,3615,3619,B-FLUIDODATERRA
38,Garoupa,4350,4357,B-CAMPO
39,PNA-2,4446,4451,B-POÇO
40,Campo,4644,4649,B-CAMPO
41,de,4650,4652,I-CAMPO
42,Namorado,4653,4661,I-CAMPO
43,petróleo,5303,5311,B-FLUIDODATERRA
44,Garoupa,5413,5420,B-CAMPO
45,Poços,6464,6469,B-POÇO
46,poço,6506,6510,B-POÇO
47,campo,7303,7308,B-CAMPO
48,de,7309,7311,I-CAMPO
49,Namorado,7312,7320,I-CAMPO
50,campo,8229,8234,B-CAMPO
51,campo,8981,8986,B-CAMPO
52,de,8987,8989,I-CAMPO
53,Namorado,8990,8998,I-CAMPO
54,Bacia,9187,9192,B-BACIA
55,de,9193,9195,I-BACIA
56,Campos,9196,9202,I-BACIA
57,PNA-1,9601,9606,B-POÇO
58,Campo,9694,9699,B-CAMPO
59,de,9700,9702,I-CAMPO
60,Namorado,9703,9711,I-CAMPO
61,poço,9761,9765,B-POÇO
62,descobridor,9766,9777,B-POÇO
63,1-RJS-19,9779,9787,B-POÇO
64,poço,9800,9804,B-POÇO
65,extensão,9808,9816,B-POÇO
66,3-NA-1-RJS,9818,9828,B-POÇO
67,campo,9991,9996,B-CAMPO
68,poços,10200,10205,B-POÇO
69,3-NA-2-RJS,10219,10229,B-POÇO
70,3-NA-3-RJS,10231,10241,B-POÇO
71,3-NA-3D-RJS,10243,10254,B-POÇO
72,3-NA-4-RJS,10256,10266,B-POÇO
73,3-NA-5-RJS,10268,10278,B-POÇO
74,4-RJS-42,10281,10289,B-POÇO
75,Namorado,10502,10510,B-CAMPO
76,Campo,10725,10730,B-CAMPO
77,de,10731,10733,I-CAMPO
78,Namorado,10734,10742,I-CAMPO
79,campo,10862,10867,B-CAMPO
80,poços,10961,10966,B-POÇO
81,campo,10999,11004,B-CAMPO
82,poços,11062,11067,B-POÇO
83,água,11109,11113,B-FLUIDODATERRA
84,campo,11382,11387,B-CAMPO
85,de,11388,11390,I-CAMPO
86,Namorado,11391,11399,I-CAMPO
87,campo,11714,11719,B-CAMPO
88,de,11720,11722,I-CAMPO
89,Namorado,11723,11731,I-CAMPO
90,campo,12409,12414,B-CAMPO
91,petróleo,12994,13002,B-FLUIDODATERRA
92,poços,13396,13401,B-POÇO
93,poços,13522,13527,B-POÇO
94,campos,13602,13608,B-CAMPO
95,campo,14179,14184,B-CAMPO
96,de,14185,14187,I-CAMPO
97,Namorado,14188,14196,I-CAMPO
98,campo,14630,14635,B-CAMPO
99,de,14636,14638,I-CAMPO
100,Namorado,14639,14647,I-CAMPO
101,Bacia,14935,14940,B-BACIA
102,de,14941,14943,I-BACIA
103,Campos,14944,14950,I-BACIA
104,Campo,15187,15192,B-CAMPO
105,de,15193,15195,I-CAMPO
106,Namorado,15196,15204,I-CAMPO
107,poços,15393,15398,B-POÇO
108,campo,15469,15474,B-CAMPO
109,poços,15515,15520,B-POÇO
110,gás,15619,15622,B-FLUIDODATERRA
111,água,15636,15640,B-FLUIDODATERRA
112,poços,15724,15729,B-POÇO
113,gás,15866,15869,B-FLUIDODATERRA
114,água,15884,15888,B-FLUIDODATERRA
115,Campo,16046,16051,B-CAMPO
116,de,16052,16054,I-CAMPO
117,Namorado,16055,16063,I-CAMPO
118,Poços,16775,16780,B-POÇO
119,poços,17178,17183,B-POÇO
120,poços,17414,17419,B-POÇO
121,poços,17536,17541,B-POÇO
