,TEXT,START,END,LABEL
0,petróleo,664,672,B-FLUIDODATERRA
1,petróleo,1364,1372,B-FLUIDODATERRA
2,petróleo,4072,4080,B-FLUIDODATERRA
3,sistema,5448,5455,B-UNIDADE_CRONO
4,Garoupa,5456,5463,I-UNIDADE_LITO
5,poço,5742,5746,B-POÇO
6,poços,6338,6343,B-POÇO
7,Sistemas,6944,6952,B-UNIDADE_CRONO
8,Sistemas,7235,7243,B-UNIDADE_CRONO
9,Água,7268,7272,B-FLUIDODATERRA
10,água,7505,7509,B-FLUIDODATERRA
11,gás,7650,7653,B-FLUIDODATERRA
12,óleo,7680,7684,B-FLUIDODATERRA
13,gás,7722,7725,B-FLUIDODATERRA
14,poços,9557,9562,B-POÇO
15,água,9620,9624,B-FLUIDODATERRA
16,petróleo,9805,9813,B-FLUIDODATERRA
17,poços,10183,10188,B-POÇO
18,Poços,10850,10855,B-POÇO
19,poços,10925,10930,B-POÇO
20,Grupo,10961,10966,B-UNIDADE_LITO
21,EXXON,10967,10972,I-UNIDADE_LITO
22,Poços,11036,11041,B-POÇO
23,petróleo,14820,14828,B-FLUIDODATERRA
24,petróleo,14928,14936,B-FLUIDODATERRA
25,águas,16117,16122,B-FLUIDODATERRA
26,hidrocarbonetos,16381,16396,B-FLUIDODATERRA
27,hidrocarbonetos,16550,16565,B-FLUIDODATERRA
28,hidrocarbonetos,16653,16668,B-FLUIDODATERRA
29,gás,17428,17431,B-FLUIDODATERRA
30,Poços,17968,17973,B-POÇO
31,poços,18044,18049,B-POÇO
32,areia,18398,18403,B-NÃOCONSOLID
33,areia,18615,18620,B-NÃOCONSOLID
34,água,18663,18667,B-FLUIDODATERRA
35,areia,18812,18817,B-NÃOCONSOLID
36,campos,18961,18967,B-CAMPO
37,petróleo,18971,18979,B-FLUIDODATERRA
38,grupo,19929,19934,B-UNIDADE_LITO
39,Golder,19935,19941,I-UNIDADE_LITO
40,água,20656,20660,B-FLUIDODATERRA
41,hidrocarbonetos,20969,20984,B-FLUIDODATERRA
42,óleo,22076,22080,B-FLUIDODATERRA
43,petróleo,22352,22360,B-FLUIDODATERRA
44,óleo,23485,23489,B-FLUIDODATERRA
45,gás,23492,23495,B-FLUIDODATERRA
46,gás,24858,24861,B-FLUIDODATERRA
47,óleo,24864,24868,B-FLUIDODATERRA
48,hidrocarbonetos,24916,24931,B-FLUIDODATERRA
49,gás,24982,24985,B-FLUIDODATERRA
50,óleo,25043,25047,B-FLUIDODATERRA
51,gás,25050,25053,B-FLUIDODATERRA
52,poços,25575,25580,B-POÇO
53,poços,25913,25918,B-POÇO
54,Garoupa,26543,26550,B-CAMPO
55,Garou,27809,27814,B-CAMPO
56,Enchova,27852,27859,B-CAMPO
57,of,35249,35251,I-BACIA
58,Santos,35252,35258,I-BACIA
59,Barreirinhas,38066,38078,B-BACIA
60,Reconcavo,39460,39469,B-BACIA
61,Jequitinhonha,39474,39487,B-BACIA
62,Espirito,39576,39584,B-BACIA
63,Santo,39585,39590,I-BACIA
64,Campos,39663,39669,B-BACIA
65,Santos,40289,40295,B-BACIA
66,petróleo,41746,41754,B-FLUIDODATERRA
67,petróleo,41874,41882,B-FLUIDODATERRA
68,petróleo,42909,42917,B-FLUIDODATERRA
69,campo,43162,43167,B-CAMPO
70,petróleo,43882,43890,B-FLUIDODATERRA
71,petróleo,43936,43944,B-FLUIDODATERRA
72,Garoupa,44617,44624,B-CAMPO
73,Namorado,44627,44635,B-CAMPO
74,Garoupa,44826,44833,B-CAMPO
75,Namorado,44836,44844,B-CAMPO
76,Garoupa,45253,45260,B-CAMPO
77,Namorado,45263,45271,B-CAMPO
78,Garoupa,45462,45469,B-CAMPO
79,Namorado,45472,45480,B-CAMPO
80,petróleo,45615,45623,B-FLUIDODATERRA
81,Garoupa,45978,45985,B-CAMPO
82,Namorado,45988,45996,B-CAMPO
83,petróleo,46977,46985,B-FLUIDODATERRA
84,petróleo,47445,47453,B-FLUIDODATERRA
85,petróleo,49650,49658,B-FLUIDODATERRA
86,petróleo,49771,49779,B-FLUIDODATERRA
87,Santos,49824,49830,B-FLUIDODATERRA
88,poço,49889,49893,B-POÇO
89,pioneiro,49894,49902,B-POÇO
90,poço,50128,50132,B-POÇO
91,seco,50133,50137,B-POÇO
92,poço,50261,50265,B-POÇO
93,petróleo,50351,50359,B-FLUIDODATERRA
94,petróleo,50382,50390,B-FLUIDODATERRA
95,areia,50413,50418,B-NÃOCONSOLID
96,arenito,50423,50430,B-ROCHA
97,óleo,50445,50449,B-FLUIDODATERRA
98,poços,50849,50854,B-POÇO
99,Campos,50901,50907,B-BACIA
100,Garoupa,52342,52349,B-CAMPO
101,Bacia,52480,52485,B-BACIA
102,do,52486,52488,I-BACIA
103,Amazonas,52489,52497,I-BACIA
104,petróleo,52698,52706,B-FLUIDODATERRA
105,campos,53005,53011,B-CAMPO
106,petróleo,53015,53023,B-FLUIDODATERRA
107,poço,54004,54008,B-POÇO
108,poços,54054,54059,B-POÇO
109,poços,54285,54290,B-POÇO
110,Garoupa,54294,54301,B-CAMPO
111,poços,56016,56021,B-POÇO
112,poço,56111,56115,B-POÇO
113,poço,56605,56609,B-POÇO
114,areia,56688,56693,B-NÃOCONSOLID
115,areia,56736,56741,B-NÃOCONSOLID
116,Poços,56842,56847,B-POÇO
117,poços,56915,56920,B-POÇO
118,gás,56939,56942,B-FLUIDODATERRA
119,poço,56960,56964,B-POÇO
120,Poço,56971,56975,B-POÇO
121,água,56990,56994,B-FLUIDODATERRA
122,poço,57037,57041,B-POÇO
123,poço,57412,57416,B-POÇO
124,HRL-75,58210,58216,B-POÇO
125,HRL-120,58218,58225,B-POÇO
126,poço,58294,58298,B-POÇO
127,poços,58789,58794,B-POÇO
128,poços,58956,58961,B-POÇO
129,HRS-300,59319,59326,B-POÇO
130,poço,59344,59348,B-POÇO
131,poços,61209,61214,B-POÇO
132,Enchova,61218,61225,B-CAMPO
133,Petro,62448,62453,B-FLUIDODATERRA
134,Bacia,63092,63097,B-BACIA
135,de,63098,63100,I-BACIA
136,Campos,63101,63107,I-BACIA
137,Campo,63554,63559,B-CAMPO
138,de,63560,63562,I-CAMPO
139,Garoupa,63563,63570,I-CAMPO
140,Aguas,66005,66010,B-CAMPO
141,Profundas,66011,66020,I-CAMPO
142,bacias,66157,66163,B-BACIA
143,Bacia,66305,66310,B-BACIA
144,das,66311,66314,I-BACIA
145,Aleutas,66315,66322,I-BACIA
146,bacias,66816,66822,B-BACIA
147,calcilutitos(,67612,67625,B-ROCHA
148,bacia,67768,67773,B-BACIA
149,gás,68024,68027,B-FLUIDODATERRA
150,bacia,68031,68036,B-BACIA
151,do,68037,68039,I-BACIA
152,mar,68040,68043,I-FLUIDODATERRA
153,Bacia,69742,69747,B-BACIA
154,de,69748,69750,I-BACIA
155,Santos,69751,69757,I-BACIA
156,campo,70365,70370,B-CAMPO
157,bacias,70438,70444,B-BACIA
158,bacias,70558,70564,B-BACIA
159,bacia,70756,70761,B-BACIA
160,rochas,71034,71040,B-ROCHA
161,rochas,71051,71057,B-ROCHA
162,hidrocarbonetos,71119,71134,B-FLUIDODATERRA
163,sedimentos,71224,71234,B-NÃOCONSOLID
164,gás,71254,71257,B-FLUIDODATERRA
165,poços,71384,71389,B-POÇO
166,cretacica,71608,71617,B-UNIDADE_CRONO
167,poços,72292,72297,B-POÇO
168,hidrocarbonetos,72422,72437,B-FLUIDODATERRA
169,Cenozoico,73054,73063,B-UNIDADE_CRONO
170,idade,75067,75072,B-UNIDADE_CRONO
171,Cretáceo,75073,75081,I-UNIDADE_CRONO
172,Superior,75082,75090,I-UNIDADE_CRONO
173,Terciário,75092,75101,B-UNIDADE_CRONO
174,Inferior,75102,75110,I-UNIDADE_CRONO
175,cretáceos,75569,75578,B-UNIDADE_CRONO
176,hidrocarbonetos,75619,75634,B-FLUIDODATERRA
177,gases,76018,76023,B-FLUIDODATERRA
178,gás,76290,76293,B-FLUIDODATERRA
179,gás,76371,76374,B-FLUIDODATERRA
180,seco,76375,76379,I-FLUIDODATERRA
181,óleo,76565,76569,B-FLUIDODATERRA
182,gás,76969,76972,B-FLUIDODATERRA
183,natural(,76973,76981,I-FLUIDODATERRA
184,bacia,77022,77027,B-BACIA
185,sedimentos,77165,77175,B-NÃOCONSOLID
186,gás,77180,77183,B-FLUIDODATERRA
187,hidrocarbonetos,77239,77254,B-FLUIDODATERRA
188,Amazonas,80226,80234,B-BACIA
189,Amazonas,80570,80578,B-BACIA
190,Amazonas,86490,86498,B-BACIA
191,poços,91227,91232,B-POÇO
192,água,91276,91280,B-FLUIDODATERRA
193,petróleo,91462,91470,B-FLUIDODATERRA
194,óleo,92143,92147,B-FLUIDODATERRA
195,óleo,92268,92272,B-FLUIDODATERRA
196,água,92290,92294,B-FLUIDODATERRA
197,óleo,92321,92325,B-FLUIDODATERRA
198,petróleo,96405,96413,B-FLUIDODATERRA
