,TEXT,START,END,LABEL
0,Formação,94,102,B-UNIDADE_LITO
1,Guarujá,103,110,I-UNIDADE_LITO
2,Bacia,126,131,B-BACIA
3,de,132,134,I-BACIA
4,Santos,135,141,I-BACIA
5,óleo,264,268,B-FLUIDODATERRA
6,campos,293,299,B-CAMPO
7,bacia,316,321,B-BACIA
8,poços,544,549,B-POÇO
9,Formação,585,593,B-UNIDADE_LITO
10,Guarujá,594,601,I-UNIDADE_LITO
11,rochas,707,713,B-ROCHA
12,poços,747,752,B-POÇO
13,Grainstones,1079,1090,B-ROCHA
14,Packstones,1413,1423,B-ROCHA
15,mudstones,1450,1459,B-ROCHA
16,mudstones,1503,1512,B-ROCHA
17,Formação,1613,1621,B-UNIDADE_LITO
18,Guarujá,1622,1629,I-UNIDADE_LITO
19,sedimentos,2380,2390,B-NÃOCONSOLID
20,óleo,2663,2667,B-FLUIDODATERRA
21,óleo,2892,2896,B-FLUIDODATERRA
22,FORMAÇÃO,2914,2922,B-UNIDADE_LITO
