,TEXT,START,END,LABEL
0,poços,357,362,B-POÇO
1,Bacia,366,371,B-BACIA
2,do,372,374,I-BACIA
3,Rio,375,378,I-BACIA
4,do,379,381,I-BACIA
5,Peixe,382,387,I-BACIA
6,poços,438,443,B-POÇO
7,idade,539,544,B-UNIDADE_CRONO
8,eodevoniana,545,556,I-UNIDADE_CRONO
9,idade,603,608,B-UNIDADE_CRONO
10,eorrio-da-serra,609,624,I-UNIDADE_CRONO
11,Bacia,721,726,B-BACIA
12,do,727,729,I-BACIA
13,Recôncavo-Tucano,730,746,I-BACIA
14,Bacia,775,780,B-BACIA
15,Potiguar,781,789,I-BACIA
16,Bacia,819,824,B-BACIA
17,do,825,827,I-BACIA
18,Recôncavo-Tucano,828,844,I-BACIA
19,Bacia,873,878,B-BACIA
20,Potiguar,879,887,I-BACIA
21,devoniana,897,906,B-UNIDADE_CRONO
22,poço,957,961,B-POÇO
23,1-PIL-1-PB,962,972,I-POÇO
24,arcóseos,1314,1322,B-ROCHA
25,bacia,1674,1679,B-BACIA
26,rochas,1751,1757,B-ROCHA
27,vulcanoclásticas,1758,1774,I-ROCHA
28,arenitos,1880,1888,B-ROCHA
29,siltitos,1912,1920,B-ROCHA
30,pelitos,1984,1991,B-ROCHA
31,bacia,2013,2018,B-BACIA
32,bacia,2268,2273,B-BACIA
33,devoniana,2274,2283,B-UNIDADE_CRONO
34,arenitos,2444,2452,B-ROCHA
35,devoniana,2559,2568,B-UNIDADE_CRONO
36,embasamento,2658,2669,B-UNIDADE_LITO
37,cretácea,2758,2766,B-UNIDADE_CRONO
38,Grupo,2768,2773,B-UNIDADE_LITO
39,Rio,2774,2777,I-UNIDADE_LITO
40,do,2778,2780,I-UNIDADE_LITO
41,Peixe,2781,2786,I-UNIDADE_LITO
42,devoniano,2935,2944,B-UNIDADE_CRONO
43,pelitoarenítica,2966,2981,B-ROCHA
44,arenitos,2987,2995,B-ROCHA
45,brechas,3029,3036,B-ROCHA
46,sedimentares,3037,3049,I-ROCHA
47,vulcânicas,3050,3060,B-ROCHA
48,arenitos,3125,3133,B-ROCHA
49,bacias,3473,3479,B-BACIA
50,do,3480,3482,I-BACIA
51,Jatobá,3483,3489,I-BACIA
52,Araripe,3495,3502,B-BACIA
53,paleozóica,3535,3545,B-UNIDADE_CRONO
54,cretácea,3568,3576,B-UNIDADE_CRONO
55,hidrocarbonetos,3661,3676,B-FLUIDODATERRA
56,Bacia,3680,3685,B-BACIA
57,do,3686,3688,I-BACIA
58,Rio,3689,3692,I-BACIA
59,do,3693,3695,I-BACIA
60,Peixe,3696,3701,I-BACIA
61,Paleozoico,3826,3836,B-UNIDADE_CRONO
