,TEXT,START,END,LABEL
0,Bacia,124,129,B-BACIA
1,dos,130,133,I-BACIA
2,Parecis-Alto,134,146,I-BACIA
3,Xingu,147,152,I-BACIA
4,sub-bacias,419,429,B-BACIA
5,de,430,432,I-BACIA
6,Juruena,433,440,I-BACIA
7,Alto-Xingu,443,453,I-BACIA
8,bacia,520,525,B-BACIA
9,poço,812,816,B-POÇO
10,PB-1-RO,817,824,I-POÇO
11,carvão,870,876,B-ROCHA
12,poços,1011,1016,B-POÇO
13,estratigráficos,1017,1032,B-POÇO
14,bacia,1036,1041,B-BACIA
15,poço,1045,1049,B-POÇO
16,2-FI-1-MT,1050,1059,I-POÇO
17,Fazenda,1061,1068,B-CAMPO
18,Itamarati,1069,1078,I-CAMPO
19,embasamento,1090,1101,B-UNIDADE_LITO
20,rochas,1110,1116,B-ROCHA
21,poço,1153,1157,B-POÇO
22,2-SM-1-MT,1158,1167,I-POÇO
23,rochas,1210,1216,B-ROCHA
24,sedimentares,1217,1229,I-ROCHA
25,poços,1478,1483,B-POÇO
26,bacia,1589,1594,B-BACIA
27,poço,1679,1683,B-POÇO
28,2-SM-1-MT,1684,1693,I-POÇO
29,neoproterozóicas,1954,1970,B-UNIDADE_CRONO
30,bacia,2054,2059,B-BACIA
31,bacia,2349,2354,B-BACIA
32,poço,2475,2479,B-POÇO
33,Bacia,2656,2661,B-BACIA
34,dos,2662,2665,I-BACIA
35,Parecis-Alto,2666,2678,I-BACIA
36,fanerozóicas,2744,2756,B-UNIDADE_CRONO
37,cretáceas,2772,2781,B-UNIDADE_CRONO
38,Grupo,2802,2807,B-UNIDADE_LITO
39,Parecis,2808,2815,I-UNIDADE_LITO
40,formações,2817,2826,B-UNIDADE_LITO
41,Utiariti,2827,2835,I-UNIDADE_LITO
42,Salto,2838,2843,B-UNIDADE_LITO
43,das,2844,2847,I-UNIDADE_LITO
44,Nuvens,2848,2854,I-UNIDADE_LITO
45,paleozóicas,2888,2899,B-UNIDADE_CRONO
46,Bacia,2922,2927,B-BACIA
47,do,2928,2930,I-BACIA
48,Paraná,2931,2937,I-BACIA
49,devonianas,2970,2980,B-UNIDADE_CRONO
50,formações,2982,2991,B-UNIDADE_LITO
51,Ponta,2992,2997,I-UNIDADE_LITO
52,Grossa,2998,3004,I-UNIDADE_LITO
53,Furnas,3007,3013,I-UNIDADE_LITO
54,Formação,3018,3026,B-UNIDADE_LITO
55,Tapirapuã,3027,3036,I-UNIDADE_LITO
56,idade,3071,3076,B-UNIDADE_CRONO
57,Jurássica,3077,3086,I-UNIDADE_CRONO
58,fanerozóica,3150,3161,B-UNIDADE_CRONO
59,bacia,3168,3173,B-BACIA
60,pré-cambrianas,3253,3267,B-UNIDADE_CRONO
61,proterozóicas,3268,3281,B-UNIDADE_CRONO
62,bacia,3539,3544,B-BACIA
