,TEXT,START,END,LABEL
0,bacias,598,604,B-BACIA
1,petróleo,729,737,B-FLUIDODATERRA
2,bacias,840,846,B-BACIA
3,bacias,964,970,B-BACIA
4,Maranhão,987,995,B-BACIA
5,Amazonas,997,1005,B-BACIA
6,Parani,1008,1014,B-BACIA
7,basalto,1284,1291,B-ROCHA
8,bacias,1401,1407,B-BACIA
9,bacias,1507,1513,B-BACIA
10,bacia,1587,1592,B-BACIA
11,Recôncavo,1645,1654,B-BACIA
12,rocha,1690,1695,B-ROCHA
13,Recôncavo,2054,2063,B-BACIA
14,petróleo,2362,2370,B-FLUIDODATERRA
15,Bacia,2944,2949,B-BACIA
16,de,2950,2952,I-BACIA
17,.,2953,2954,I-BACIA
18,Campos,2954,2960,I-BACIA
19,Bacias,3521,3527,B-BACIA
20,Terrestres,3528,3538,I-BACIA
21,bacias,3585,3591,B-BACIA
22,bacias,3680,3686,B-BACIA
23,Amazonas,3703,3711,B-BACIA
24,Maranhio,3713,3721,B-BACIA
25,Paraná,3724,3730,B-BACIA
26,bacias,3887,3893,B-BACIA
27,Juruá,3938,3943,B-CAMPO
28,Juruá,4124,4129,B-CAMPO
29,Jaraqui,4134,4141,B-CAMPO
30,bacias,4215,4221,B-BACIA
31,mesoz6cas,4233,4242,B-UNIDADE_CRONO
32,bacias,4511,4517,B-BACIA
33,Juruá,4562,4567,B-CAMPO
34,Juruá,4748,4753,B-CAMPO
35,Jaraqui,4758,4765,B-CAMPO
36,bacias,4839,4845,B-BACIA
37,mesoz6cas,4857,4866,B-UNIDADE_CRONO
38,cretácio,5101,5109,B-UNIDADE_CRONO
39,Campo,5116,5121,B-CAMPO
40,de,5122,5124,I-CAMPO
41,Carmópolis,5125,5135,I-CAMPO
42,óleo,5188,5192,B-FLUIDODATERRA
43,óleo,5268,5272,B-FLUIDODATERRA
44,campo,5446,5451,B-CAMPO
45,Bacia,5718,5723,B-BACIA
46,Bacia,5859,5864,B-BACIA
47,do,5865,5867,I-BACIA
48,R~c;n~~vo,5868,5877,I-BACIA
49,petróleo,5919,5927,B-FLUIDODATERRA
50,Lobato,5961,5967,B-CAMPO
51,Rec~ncavo,5979,5988,B-BACIA
52,bacia,5995,6000,B-BACIA
53,poços,6095,6100,B-POÇO
54,campo,6160,6165,B-CAMPO
55,de,6166,6168,I-CAMPO
56,D.Jo~o-Mar,6169,6179,I-CAMPO
57,Bacia,6232,6237,B-BACIA
58,do,6238,6240,I-BACIA
59,Rec~ncavo,6241,6250,I-BACIA
60,campos,6472,6478,B-CAMPO
61,Bacia,6823,6828,B-BACIA
62,Terrestie,6829,6838,I-BACIA
63,do,6839,6841,I-BACIA
64,Espírito,6842,6850,I-BACIA
65,Santo,6851,6856,I-BACIA
66,campos,6885,6891,B-CAMPO
67,campos,7117,7123,B-CAMPO
68,Fazenda,7158,7165,B-CAMPO
69,Cedro,7166,7171,I-CAMPO
