,TEXT,START,END,LABEL
0,petróleo,420,428,B-FLUIDODATERRA
1,bacias,512,518,B-BACIA
2,rochas,579,585,B-ROCHA
3,petróleo,810,818,B-FLUIDODATERRA
4,petróleo,896,904,B-FLUIDODATERRA
5,bacias,921,927,B-BACIA
6,petróleo,1182,1190,B-FLUIDODATERRA
7,bacias,1244,1250,B-BACIA
8,paleoz6ica,1301,1311,B-UNIDADE_CRONO
9,bacias,1465,1471,B-BACIA
10,basalto,1655,1662,B-ROCHA
11,sedimentos,1925,1935,B-NÃOCONSOLID
12,cenoz~i-co,1937,1947,B-UNIDADE_CRONO
13,bacia,2302,2307,B-BACIA
14,hidrocarbonetos,2515,2530,B-FLUIDODATERRA
15,bacias,2710,2716,B-BACIA
16,sedimentos,3144,3154,B-NÃOCONSOLID
17,petróleo,3582,3590,B-FLUIDODATERRA
18,bacias,3620,3626,B-BACIA
19,campo,3657,3662,B-CAMPO
20,bacias,4737,4743,B-BACIA
21,bacias,4832,4838,B-BACIA
22,paleoz5icas,4839,4850,B-UNIDADE_CRONO
23,Amazonas,4854,4862,B-BACIA
24,Maranhio,4864,4872,B-BACIA
25,parani,4875,4881,B-BACIA
26,Juru~,5297,5302,B-CAMPO
27,Bacia,5387,5392,B-BACIA
28,Terrestre,5393,5402,I-BACIA
29,Campo,5457,5462,B-CAMPO
30,de,5463,5465,I-CAMPO
31,Carmópolis,5466,5476,I-CAMPO
32,óleo,5530,5534,B-FLUIDODATERRA
33,óleo,5610,5614,B-FLUIDODATERRA
34,óleo,5698,5702,B-FLUIDODATERRA
35,Bacia,6029,6034,B-BACIA
36,campos,6095,6101,B-CAMPO
37,Bacia,6211,6216,B-BACIA
38,de,6217,6219,I-BACIA
39,3,6220,6221,I-BACIA
40,Campos,6222,6228,I-BACIA
41,Campos,6260,6266,B-BACIA
42,Bacia,6341,6346,B-BACIA
43,de,6347,6349,I-BACIA
44,Campos,6350,6356,I-BACIA
45,óleo,6410,6414,B-FLUIDODATERRA
46,campos,6441,6447,B-CAMPO
47,óleo,6537,6541,B-FLUIDODATERRA
48,gas,6592,6595,B-FLUIDODATERRA
49,campo,6666,6671,B-CAMPO
50,de,6672,6674,I-CAMPO
51,Bacia,6738,6743,B-BACIA
52,do,6744,6746,I-BACIA
53,Recôncavo,6747,6756,I-BACIA
54,campos,6987,6993,B-CAMPO
55,Bacia,7337,7342,B-BACIA
56,Terrestre,7343,7352,I-BACIA
57,Espírito,7356,7364,B-BACIA
58,Santo,7365,7370,I-BACIA
59,campos,7400,7406,B-CAMPO
60,campos,7648,7654,B-CAMPO
61,Fazenda,7683,7690,B-CAMPO
62,Cedro,7691,7696,I-CAMPO
63,campos,8056,8062,B-CAMPO
64,de,8063,8065,I-CAMPO
65,Lagoa,8066,8071,I-CAMPO
66,Parda,8072,8077,I-CAMPO
67,Rio,8079,8082,B-CAMPO
68,Itaunas,8083,8090,I-CAMPO
69,são,8109,8112,I-CAMPO
70,campos,8178,8184,B-CAMPO
71,gás,8401,8404,B-FLUIDODATERRA
72,natural,8405,8412,I-FLUIDODATERRA
