Fm. Iguape;Formação Iguape
Fm. Presidente Prudente;Formação Presidente Prudente
Fm. Serra Geral;Formação Serra Geral
Fm. Guamaré;Formação Guamaré
Gr. Macaé;Grupo Macaé
Fm. Jandiatuba;Formação Jandiatuba
Fm. Barbalha;Formação Barbalha
Fm. Pitinga;Formação Pitinga
Fm. Utiariti;Formação Utiariti
Fm. Acorizal;Formação Acorizal
Fm. Coqueiro Seco;Formação Coqueiro Seco
Fm. Brejo Santo;Formação Brejo Santo
Fm. Sepetiba;Formação Sepetiba
Fm. Providência;Formação Providência
Fm. Mariricu;Formação Mariricu
Fm. Araguaia;Formação Araguaia
Fm. Patos;Formação Patos
Fm. Barreiras;Formação Barreiras
Fm. Jaibaras;Formação Jaibaras
Fm. Orange;Formação Orange
Gr. Bambuí;Grupo Bambuí
Fm. Ipu;Formação Ipu
Gr. Javari;Grupo Javari
Fm. Água Morna;Formação Água Morna
Fm. Cassino;Formação Cassino
Mb. Chapéu do Sol;Membro Chapéu do Sol
Fm. Uerê;Formação Uerê
Mb. Sernambi;Membro Sernambi
Gr. Santa Fé;Grupo Santa Fé
Fm. Travossas;Formação Travossas
Fm. São Paulo;Formação São Paulo
Gr. Igreja Nova;Grupo Igreja Nova
Fm. Barreirinha;Formação Barreirinha
Gr. Humberto de Campos;Grupo Humberto de Campos
Fm. Rio do Moura;Formação Rio do Moura
Fm. Calumbi;Formação Calumbi
Fm. Nova Olinda;Formação Nova Olinda
Fm. Morro do Chapéu;Formação Morro do Chapéu
Mb. Triunfo;Membro Triunfo
Mb. Itaúnas;Membro Itaúnas
Fm. Grajaú;Formação Grajaú
Fm. Manacapuru;Formação Manacapuru
Fm. Matão;Formação Matão
Fm. Mosqueiro;Formação Mosqueiro
Fm. Maria Farinha;Formação Maria Farinha
Gr. Macaúbas;Grupo Macaúbas
Fm. Sanga do Cabral;Formação Sanga do Cabral
Mb. Arauá;Membro Arauá
Fm. Mirassol do d'Oeste;Formação Mirassol do d'Oeste
Fm. Poço Verde;Formação Poço Verde
Fm. Ererê;Formação Ererê
Fm. Corda;Formação Corda
Fm. Marília;Formação Marília
Gr. Canindé;Grupo Canindé
Fm. Navalha;Formação Navalha
Fm. Piauí;Formação Piauí
Fm. Puga;Formação Puga
Fm. Macabu;Formação Macabu
Mb. Caruaçu;Membro Caruaçu
Fm. Ribeirão Contagem;Formação Ribeirão Contagem
Fm. Marajó;Formação Marajó
Fm. Rio Piranhas;Formação Rio Piranhas
Fm. Tianguá;Formação Tianguá
Fm. Barro Duro;Formação Barro Duro
Fm. Macau;Formação Macau
Fm. Apuí;Formação Apuí
Fm. Portobelo;Formação Portobelo
Mb. Morro Pelado;Membro Morro Pelado
Fm. Missão Velha;Formação Missão Velha
Mb. Taquari;Membro Taquari
Fm. Ipojuca;Formação Ipojuca
Fm. Atlântida;Formação Atlântida
Fm. Alagamar;Formação Alagamar
Fm. Itaquaquecetuba;Formação Itaquaquecetuba
Fm. Amapá;Formação Amapá
Gr. Espírito Santo;Grupo Espírito Santo
Fm. Codó;Formação Codó
Mb. São Tomé;Membro São Tomé
Gr. Campos;Grupo Campos
Fm. Itamaracá;Formação Itamaracá
Fm. Pimenteira;Formação Pimenteira
Fm. Gargau;Formação Gargau
Fm. Rio Ceará-Mirim;Formação Rio Ceará-Mirim
Fm. Faro;Formação Faro
Fm. Serra do Quilombo;Formação Serra do Quilombo
Fm. Serra Alta;Formação Serra Alta
Fm. Sambaíba;Formação Sambaíba
Mb. Taquaral;Membro Taquaral
Mb. Mucuri;Membro Mucuri
Mb. Trairi;Membro Trairi
Gr. Itamambuca;Grupo Itamambuca
Fm. Pantanal;Formação Pantanal
Mb. Lagoa do Queimado;Membro Lagoa do Queimado
Fm. Nova Aurora;Formação Nova Aurora
Gr. Almada;Grupo Almada
Fm. Sardinha;Formação Sardinha
Gr. Caju;Grupo Caju
Mb. Pitanga;Membro Pitanga
Fm. Rio Pitanga;Formação Rio Pitanga
Fm. Pindamonhagaba;Formação Pindamonhagaba
Fm. Alto Garças;Formação Alto Garças
Fm. Rio Ávila;Formação Rio Ávila
Fm. Córrego do Sansão;Formação Córrego do Sansão
Fm. Cassiporé;Formação Cassiporé
Fm. Fonte Boa;Formação Fonte Boa
Fm. Carrancas;Formação Carrancas
Fm. Córrego do Barreiro;Formação Córrego do Barreiro
Fm. Tucano;Formação Tucano
Fm. Calçoene;Formação Calçoene
Gr. Marimari;Grupo Marimari
Mb. Serinhaém;Membro Serinhaém
Mb. Ilhéus;Membro Ilhéus
Fm. Veredas;Formação Veredas
Fm. Itaípe;Formação Itaípe
Gr. Areia Branca;Grupo Areia Branca
Fm. Imbituba;Formação Imbituba
Fm. Bom Gosto;Formação Bom Gosto
Gr. Araras;Grupo Araras
Gr. Mata da Corda;Grupo Mata da Corda
Fm. Nhamundá;Formação Nhamundá
Fm. Cururu;Formação Cururu
Fm. Rio Azul;Formação Rio Azul
Fm. Pastos Bons;Formação Pastos Bons
Fm. Mosquito;Formação Mosquito
Fm. Sabiá;Formação Sabiá
Fm. Bonfim;Formação Bonfim
Fm. São Benedito;Formação São Benedito
Mb. Aracaju;Membro Aracaju
Fm. Sepotuba;Formação Sepotuba
Fm. Candeias;Formação Candeias
Fm. Estiva;Formação Estiva
Fm. Boqueirão;Formação Boqueirão
Fm. Capoeiras;Formação Capoeiras
Fm. Ponta Aguda;Formação Ponta Aguda
Gr. Piaçabuçu;Grupo Piaçabuçu
Fm. Riachão;Formação Riachão
Fm. Anajás;Formação Anajás
Mb. Crato;Membro Crato
Mb. Uraria;Membro Uraria
Mb. Rio Segredo;Membro Rio Segredo
Fm. Aracaré;Formação Aracaré
Mb. Rio do Sul;Membro Rio do Sul
Mb. Romualdo;Membro Romualdo
Fm. Bananeiras;Formação Bananeiras
Fm. Tupanciretã;Formação Tupanciretã
Fm. Coxipó;Formação Coxipó
Fm. Exu;Formação Exu
Mb. Campo do Tenente;Membro Campo do Tenente
Fm. Morro Cristalina;Formação Morro Cristalina
Fm. Namorado;Formação Namorado
Mb. Tamoios;Membro Tamoios
Mb. Urubu;Membro Urubu
Gr. Passa Dois;Grupo Passa Dois
Fm. Abaeté;Formação Abaeté
Fm. Carapebus;Formação Carapebus
Fm. Algodoais;Formação Algodoais
Mb. Gomo;Membro Gomo
Fm. Iapó;Formação Iapó
Gr. Paraíba;Grupo Paraíba
Fm. Lagoa Azul;Formação Lagoa Azul
Fm. Campina das Pedras;Formação Campina das Pedras
Fm. Ribeirão Piçarrão;Formação Ribeirão Piçarrão
Fm. Palermo;Formação Palermo
Fm. Muribeca;Formação Muribeca
Gr. Balsas;Grupo Balsas
Fm. Córrego Cordovil;Formação Córrego Cordovil
Gr. Vale do Cariri;Grupo Vale do Cariri
Fm. Cricaré;Formação Cricaré
Fm. Mirador;Formação Mirador
Gr. Brotas;Grupo Brotas
Fm. Pirarucu;Formação Pirarucu
Fm. Rio Doce;Formação Rio Doce
Mb. Jaguariaíva;Membro Jaguariaíva
Gr. Alto Paraguai;Grupo Alto Paraguai
Gr. Massacará;Grupo Massacará
Gr. Caiabis;Grupo Caiabis
Fm. Palmares;Formação Palmares
Mb. Cazumba;Membro Cazumba
Fm. Abrolhos;Formação Abrolhos
Fm. Água Grande;Formação Água Grande
Mb. Ponta do Tubarão;Membro Ponta do Tubarão
Fm. Morro do Chaves;Formação Morro do Chaves
Mb. Mulungu;Membro Mulungu
Fm. Feliz Deserto;Formação Feliz Deserto
Mb. Mutá;Membro Mutá
Fm. Ariri;Formação Ariri
Mb. Nova Prata;Membro Nova Prata
Fm. Manari;Formação Manari
Fm. Riachuelo;Formação Riachuelo
Mb. Ilhabela;Membro Ilhabela
Mb. Sesmaria;Membro Sesmaria
Fm. Poção;Formação Poção
Fm. Serra da Boa Vista;Formação Serra da Boa Vista
Mb. Redonda;Membro Redonda
Fm. Imbetiba;Formação Imbetiba
Fm. Triunfo 2;Formação Triunfo 2
Fm. Serra das Araras;Formação Serra das Araras
Fm. Cabo;Formação Cabo
Gr. Santo Onofre;Grupo Santo Onofre
Fm. Arraias;Formação Arraias
Mb. Tinharé;Membro Tinharé
Gr. Una;Grupo Una
Fm. Floresta;Formação Floresta
Mb. Pedrão;Membro Pedrão
Fm. Serra do Cuó;Formação Serra do Cuó
Fm. Tutóia;Formação Tutóia
Mb. Siderópolis;Membro Siderópolis
Mb. Quiepe;Membro Quiepe
Fm. Jatapu;Formação Jatapu
Fm. Coqueiros;Formação Coqueiros
Fm. Santo Anastácio;Formação Santo Anastácio
Mb. Igrapiúna;Membro Igrapiúna
Fm. Marituba;Formação Marituba
Gr. Pará;Grupo Pará
Fm. Salvador;Formação Salvador
Gr. Sítio Novo;Grupo Sítio Novo
Fm. Bebedouro;Formação Bebedouro
Fm. Apoteri;Formação Apoteri
Fm. Sousa;Formação Sousa
Fm. São Sebastião;Formação São Sebastião
Fm. Outeiro;Formação Outeiro
Fm. Quissamã;Formação Quissamã
Fm. Ribeirão São Miguel;Formação Ribeirão São Miguel
Fm. Barra de Itiúba;Formação Barra de Itiúba
Gr. Tefé;Grupo Tefé
Gr. Areado;Grupo Areado
Fm. Candeeiro;Formação Candeeiro
Fm. Dourados;Formação Dourados
Fm. Nobres;Formação Nobres
Fm. Ponta Grossa;Formação Ponta Grossa
Mb. Tarabai;Membro Tarabai
Gr. Ilhas;Grupo Ilhas
Fm. Jandaíra;Formação Jandaíra
Fm. Andirá;Formação Andirá
Fm. Engenho;Formação Engenho
Fm. Gramame;Formação Gramame
Mb. Siri;Membro Siri
Fm. Tremembé;Formação Tremembé
Fm. Itajaí-Açu;Formação Itajaí-Açu
Mb. Paraguaçu;Membro Paraguaçu
Fm. Curituba;Formação Curituba
Fm. Estância;Formação Estância
Fm. Guarujá;Formação Guarujá
Fm. Preguiças;Formação Preguiças
Fm. Goio Erê;Formação Goio Erê
Gr. Itararé;Grupo Itararé
Fm. Caldas;Formação Caldas
Fm. Imbé;Formação Imbé
Mb. Búzios;Membro Búzios
Fm. Algodões;Formação Algodões
Mb. Oiteirinhos;Membro Oiteirinhos
Fm. Pescada;Formação Pescada
Fm. Capacete;Formação Capacete
Mb. Galinhos;Membro Galinhos
Gr. Purus;Grupo Purus
Fm. Raizama;Formação Raizama
Mb. Atalaia;Membro Atalaia
Fm. Rosário do Sul;Formação Rosário do Sul
Fm. Cidreira;Formação Cidreira
Fm. Goitacás;Formação Goitacás
Fm. Ilha de Santana;Formação Ilha de Santana
Fm. Tramandaí;Formação Tramandaí
Fm. Cariri;Formação Cariri
Fm. Guia;Formação Guia
Fm. Rio Peixe Bravo;Formação Rio Peixe Bravo
Fm. Juruá;Formação Juruá
Gr. Serra Grande;Grupo Serra Grande
Fm. Benjamin Constant;Formação Benjamin Constant
Fm. Tibau;Formação Tibau
Fm. Caboclo;Formação Caboclo
Fm. Itaituba;Formação Itaituba
Fm. Biá;Formação Biá
Fm. Periá;Formação Periá
Gr. Curuá;Grupo Curuá
Gr. Guaratiba;Grupo Guaratiba
Mb. Serra da Galga;Membro Serra da Galga
Fm. Salto das Nuvens;Formação Salto das Nuvens
Mb. Geribá;Membro Geribá
Gr. Bauru;Grupo Bauru
Fm. Ribeirão do Torto;Formação Ribeirão do Torto
Fm. Curumim;Formação Curumim
Mb. Tibagi;Membro Tibagi
Fm. Pirambóia;Formação Pirambóia
Fm. Garapa;Formação Garapa
Fm. Posse;Formação Posse
Fm. Chapadão;Formação Chapadão
Fm. Lagoa do Jacaré;Formação Lagoa do Jacaré
Fm. Antenor Navarro;Formação Antenor Navarro
Mb. Upanema;Membro Upanema
Mb. Grussaí;Membro Grussaí
Gr. Jatobá;Grupo Jatobá
Fm. Monte Pascoal;Formação Monte Pascoal
Fm. Paracuru;Formação Paracuru
Fm. Porto Seguro;Formação Porto Seguro
Fm. Tacutu;Formação Tacutu
Fm. Florianópolis;Formação Florianópolis
Gr. Nativo;Grupo Nativo
Fm. Rio de Contas;Formação Rio de Contas
Fm. Ipixuna;Formação Ipixuna
Fm. Marambaia;Formação Marambaia
Mb. Capianga;Membro Capianga
Fm. Botucatu;Formação Botucatu
Mb. Tabuleiro dos Martins;Membro Tabuleiro dos Martins
Fm. Anari;Formação Anari
Mb. Boacica;Membro Boacica
Fm. Carauari;Formação Carauari
Fm. Ubarana;Formação Ubarana
Mb. Jaguaré;Membro Jaguaré
Fm. Fazenda da Casa Branca;Formação Fazenda da Casa Branca
Gr. Cuiabá;Grupo Cuiabá
Gr. Taubaté;Grupo Taubaté
Gr. Araí;Grupo Araí
Fm. Quebradas;Formação Quebradas
Fm. Serra do Paranã;Formação Serra do Paranã
Fm. Rio do Rasto;Formação Rio do Rasto
Mb. Caldeirão;Membro Caldeirão
Mb. Ingá;Membro Ingá
Fm. Penedo;Formação Penedo
Fm. Serraria;Formação Serraria
Gr. Barra Nova;Grupo Barra Nova
Fm. Marfim;Formação Marfim
Fm. Juruá Mirim;Formação Juruá Mirim
Gr. Parecis;Grupo Parecis
Fm. Atafona;Formação Atafona
Fm. Bequimão;Formação Bequimão
Gr. Paraná;Grupo Paraná
Mb. Assistência;Membro Assistência
Gr. Canárias;Grupo Canárias
Mb. Maresias;Membro Maresias
Fm. Barra Velha;Formação Barra Velha
Fm. Cabiúnas;Formação Cabiúnas
Fm. Vale do Rio do Peixe;Formação Vale do Rio do Peixe
Mb. Carmópolis;Membro Carmópolis
Fm. Teresina;Formação Teresina
Fm. Inajá;Formação Inajá
Mb. Ibura;Membro Ibura
Gr. São Bento;Grupo São Bento
Fm. Domingas;Formação Domingas
Fm. Poti;Formação Poti
Fm. Furnas;Formação Furnas
Mb. Abacaxis;Membro Abacaxis
Fm. Itaparica;Formação Itaparica
Fm. Itapema;Formação Itapema
Fm. Autás Mirim;Formação Autás Mirim
Fm. Monte Alegre;Formação Monte Alegre
Gr. Tapajós;Grupo Tapajós
Gr. Lagoa Feia;Grupo Lagoa Feia
Fm. Corumbataí;Formação Corumbataí
Fm. Salitre;Formação Salitre
Gr. Araripe;Grupo Araripe
Fm. Itabapoana;Formação Itabapoana
