form,deprel,deps,misc,grafo,text,word_join,word_join_start,word_join_end,index_e,sentence,#sentence_original
Membro,root,B=UNIDADE_LITO,"{'end_char': '501', 'grafo': '#membro_010', 'start_char': '495'}",#membro_010,"Membro Mucuri, Eocretáceo    Bacia    Espirito Santo..", Membro Mucuri,0,13,0.0,1,6
Eocretáceo,conj,B=UNIDADE_CRONO,"{'end_char': '520', 'grafo': '#LowerCretaceous', 'start_char': '510'}",#LowerCretaceous,"Membro Mucuri, Eocretáceo    Bacia    Espirito Santo..", Eocretáceo,15,25,3.0,1,6
Bacia,nmod,B=BACIA,"{'end_char': '529', 'grafo': '#BASE_CD_BACIA_270', 'start_char': '524'}",#BASE_CD_BACIA_270,"Membro Mucuri, Eocretáceo    Bacia    Espirito Santo..", Bacia Espirito Santo,29,52,4.0,1,6
Mesozóico,appos,B=UNIDADE_CRONO,"{'end_char': '6671', 'grafo': '#Mesozoic', 'start_char': '6662'}",#Mesozoic,Ferreira 121 a Expressão de Reativações Pós-intrusão    Enxame de Diques Rio Ceará Mirim (Mesozóico): Implicações Evolução Tectônica    Bacia Potiguar ., Mesozóico,90,99,14.0,2,36
Bacia,flat:name,B=BACIA,"{'end_char': '6713', 'grafo': '#BASE_CD_BACIA_100', 'start_char': '6708'}",#BASE_CD_BACIA_100,Ferreira 121 a Expressão de Reativações Pós-intrusão    Enxame de Diques Rio Ceará Mirim (Mesozóico): Implicações Evolução Tectônica    Bacia Potiguar ., Bacia Potiguar,136,150,20.0,2,36
selo,conj,B=ELEMENTO_PETRO,"{'end_char': '9354', 'grafo': '#seal', 'start_char': '9350'}",#seal,"Em cada um        sistemas ocorrem condições variáveis, controladas por tectonismo e flutuações climáticas, para a formação de reservatório, gerador e selo, parâmetros básicos para a ocorrência de acumulações de petróleo. (Originais recebidos em 17.06.94.)", selo,151,155,23.0,3,45
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '9419', 'grafo': '#oil', 'start_char': '9411'}",#oil,"Em cada um        sistemas ocorrem condições variáveis, controladas por tectonismo e flutuações climáticas, para a formação de reservatório, gerador e selo, parâmetros básicos para a ocorrência de acumulações de petróleo. (Originais recebidos em 17.06.94.)", petróleo,212,220,33.0,3,45
bacias,obl,B=BACIA,"{'end_char': '10691', 'grafo': '#basin', 'start_char': '10685'}",#basin,"Esses conceitos foram inicialmente propostos para bacias marginais marinhas; todavia, seu sucesso foi tão grande, que os mesmos foram ajustados para outras classes de bacias..", bacias,50,56,6.0,4,49
bacias,nmod,B=BACIA,"{'end_char': '10808', 'grafo': '#basin', 'start_char': '10802'}",#basin,"Esses conceitos foram inicialmente propostos para bacias marginais marinhas; todavia, seu sucesso foi tão grande, que os mesmos foram ajustados para outras classes de bacias..", bacias,167,173,27.0,4,49
discordâncias,nmod,B=ESTRUTURA_FÍSICA,"{'end_char': '11154', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_036', 'start_char': '11141'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,Vail et al. (1977) observaram evidências de onlap sobre discordâncias regionais em seções sismicas dip através de bacias de margem passiva.., discordâncias,56,69,11.0,5,54
bacias,obl,B=BACIA,"{'end_char': '11205', 'grafo': '#basin', 'start_char': '11199'}",#basin,Vail et al. (1977) observaram evidências de onlap sobre discordâncias regionais em seções sismicas dip através de bacias de margem passiva.., bacias,114,120,19.0,5,54
bacias,obl,B=BACIA,"{'end_char': '13055', 'grafo': '#basin', 'start_char': '13049'}",#basin,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..", bacias,78,84,13.0,6,66
sedimentos,nsubj,B=NÃOCONSOLID,"{'end_char': '13083', 'grafo': '#unconsolidated_earth_material', 'start_char': '13073'}",#unconsolidated_earth_material,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..", sedimentos,102,112,18.0,6,66
bacia,nmod,B=BACIA,"{'end_char': '13140', 'grafo': '#basin', 'start_char': '13135'}",#basin,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..", bacia,164,169,26.0,6,66
bacia,nmod,B=BACIA,"{'end_char': '13195', 'grafo': '#basin', 'start_char': '13190'}",#basin,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..", bacia,219,224,37.0,6,66
