Relation,Ent1,Ent2,URI_1,URI_2,#Sentence
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,97
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,97
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,97
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,97
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,180
located_in,UNIDADE_LITO,BACIA,#formacao_319,#BASE_CD_BACIA_100,234
located_in,UNIDADE_LITO,BACIA,#formacao_117,#BASE_CD_BACIA_116,317
located_in,UNIDADE_LITO,BACIA,#formacao_130,#BASE_CD_BACIA_116,317
located_in,POÇO,CAMPO,#POCO_CD_POCO_009065,#CAMP_CD_CAMPO_0249,322
located_in,POÇO,BACIA,#POCO_CD_POCO_009065,#BASE_CD_BACIA_116,322
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009757,#SD_000,322
located_in,POÇO,CAMPO,#POCO_CD_POCO_009757,#CAMP_CD_CAMPO_0249,322
located_in,POÇO,BACIA,#POCO_CD_POCO_009757,#BASE_CD_BACIA_116,322
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0249,#BASE_CD_BACIA_116,322
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_007,#formacao_130,324
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,324
located_in,UNIDADE_LITO,BACIA,#membro_061,#BASE_CD_BACIA_116,328
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#anhydrite,329
located_in,UNIDADE_LITO,BACIA,#membro_061,#BASE_CD_BACIA_116,333
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#anhydrite,333
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#halite,333
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#carnallite,333
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#tachyhydrite,333
constituted_by,UNIDADE_LITO,ROCHA,#membro_061,#anhydrite,333
constituted_by,UNIDADE_LITO,ROCHA,#membro_007,#shale,339
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,355
located_in,UNIDADE_LITO,BACIA,#membro_061,#BASE_CD_BACIA_116,359
located_in,UNIDADE_LITO,BACIA,#membro_044,#BASE_CD_BACIA_116,359
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009757,#formacao_117,364
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009757,#membro_044,364
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,364
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,368
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,378
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,382
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_044,#formacao_117,387
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009065,#formacao_130,390
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009065,#membro_007,390
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_007,#formacao_130,390
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009757,#formacao_130,394
crosses,POÇO,UNIDADE_LITO,#POCO_CD_POCO_009757,#membro_007,394
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_007,#formacao_130,394
located_in,POÇO,CAMPO,#well,#CAMP_CD_CAMPO_0249,399
crosses,POÇO,UNIDADE_LITO,#well,#formacao_117,399
located_in,POÇO,CAMPO,#well,#CAMP_CD_CAMPO_0249,407
crosses,POÇO,UNIDADE_LITO,#well,#formacao_117,407
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_025,#formacao_095,611
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_070,#formacao_095,611
located_in,POÇO,BACIA,#well,#basin,620
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0682,#BASE_CD_BACIA_281,760
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0017,#BASE_CD_BACIA_281,760
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0682,#BASE_CD_BACIA_281,1072
located_in,POÇO,BACIA,#well,#basin,1117
located_in,POÇO,CAMPO,#well,#field,1117
located_in,CAMPO,BACIA,#field,#basin,1117
located_in,CAMPO,BACIA,#field,#basin,1119
constituted_by,UNIDADE_LITO,ROCHA,#formacao_295,#sandstone,1129
constituted_by,UNIDADE_LITO,ROCHA,#formacao_295,#shale,1129
located_in,UNIDADE_LITO,BACIA,#formacao_305,#BASE_CD_BACIA_215,1130
located_in,UNIDADE_LITO,BACIA,#formacao_102,#BASE_CD_BACIA_116,1130
located_in,UNIDADE_LITO,BACIA,#formacao_102,#BASE_CD_BACIA_116,1130
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_027,#Permian,1131
constituted_by,UNIDADE_LITO,ROCHA,#grupo_022,#shale,1143
constituted_by,UNIDADE_LITO,ROCHA,#grupo_022,#sandstone,1143
constituted_by,UNIDADE_LITO,ROCHA,#grupo_022,#sandstone,1143
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_335,#Dom_Joao_Age,1143
part_of,UNIDADE_LITO,UNIDADE_LITO,#formacao_335,#grupo_022,1143
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#shale,1143
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#sandstone,1143
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#sandstone,1143
part_of,UNIDADE_LITO,UNIDADE_LITO,#formacao_239,#grupo_022,1143
constituted_by,UNIDADE_LITO,ROCHA,#formacao_239,#shale,1143
constituted_by,UNIDADE_LITO,ROCHA,#formacao_239,#sandstone,1143
constituted_by,UNIDADE_LITO,ROCHA,#formacao_239,#sandstone,1143
part_of,UNIDADE_LITO,UNIDADE_LITO,#formacao_229,#grupo_057,1145
constituted_by,UNIDADE_LITO,ROCHA,#formacao_125,#sandstone,1146
constituted_by,UNIDADE_LITO,ROCHA,#formacao_145,#conglomerate,1153
constituted_by,UNIDADE_LITO,ROCHA,#membro_070,#shale,1155
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_070,#formacao_095,1155
located_in,UNIDADE_LITO,BACIA,#membro_070,#BASE_CD_BACIA_230,1155
constituted_by,UNIDADE_LITO,ROCHA,#formacao_095,#shale,1155
located_in,UNIDADE_LITO,BACIA,#membro_025,#basin,1157
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_025,#formacao_095,1157
constituted_by,UNIDADE_LITO,ROCHA,#membro_025,#shale,1157
constituted_by,UNIDADE_LITO,ROCHA,#membro_025,#sandstone,1157
located_in,UNIDADE_LITO,BACIA,#formacao_095,#basin,1157
constituted_by,UNIDADE_LITO,ROCHA,#formacao_095,#shale,1157
constituted_by,UNIDADE_LITO,ROCHA,#formacao_095,#sandstone,1157
constituted_by,UNIDADE_LITO,ROCHA,#formacao_338,#sandstone,1158
constituted_by,UNIDADE_LITO,ROCHA,#formacao_338,#shale,1158
constituted_by,UNIDADE_LITO,ROCHA,#formacao_338,#shale,1158
constituted_by,UNIDADE_LITO,ROCHA,#membro_013,#sandstone,1159
constituted_by,UNIDADE_LITO,ROCHA,#membro_005,#sandstone,1159
constituted_by,UNIDADE_LITO,ROCHA,#grupo_032,#sandstone,1160
constituted_by,UNIDADE_LITO,ROCHA,#grupo_032,#siltstone,1160
constituted_by,UNIDADE_LITO,ROCHA,#grupo_032,#shale,1160
constituted_by,UNIDADE_LITO,ROCHA,#formacao_217,#sandstone,1160
constituted_by,UNIDADE_LITO,ROCHA,#formacao_217,#siltstone,1160
constituted_by,UNIDADE_LITO,ROCHA,#formacao_217,#shale,1160
part_of,UNIDADE_LITO,UNIDADE_LITO,#formacao_217,#grupo_032,1160
constituted_by,UNIDADE_LITO,ROCHA,#membro_078,#sandstone,1160
constituted_by,UNIDADE_LITO,ROCHA,#membro_078,#siltstone,1160
constituted_by,UNIDADE_LITO,ROCHA,#membro_078,#shale,1160
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_078,#formacao_217,1160
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_287,#Aratu_Age,1160
constituted_by,UNIDADE_LITO,ROCHA,#formacao_287,#sandstone,1160
constituted_by,UNIDADE_LITO,ROCHA,#formacao_287,#siltstone,1160
constituted_by,UNIDADE_LITO,ROCHA,#formacao_287,#shale,1160
part_of,UNIDADE_LITO,UNIDADE_LITO,#formacao_287,#grupo_032,1160
located_in,UNIDADE_LITO,BACIA,#formacao_328,#BASE_CD_BACIA_240,1161
constituted_by,UNIDADE_LITO,ROCHA,#formacao_328,#sandstone,1161
constituted_by,UNIDADE_LITO,ROCHA,#formacao_328,#shale,1161
constituted_by,UNIDADE_LITO,ROCHA,#formacao_149,#sandstone,1162
part_of,UNIDADE_LITO,UNIDADE_LITO,#formacao_149,#grupo_024,1162
constituted_by,UNIDADE_LITO,ROCHA,#grupo_024,#sandstone,1162
constituted_by,UNIDADE_LITO,ROCHA,#formacao_286,#conglomerate,1164
constituted_by,UNIDADE_LITO,ROCHA,#formacao_286,#sandstone,1164
constituted_by,UNIDADE_LITO,ROCHA,#formacao_286,#shale,1164
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_286,#Alagoas_Age,1164
constituted_by,UNIDADE_LITO,ROCHA,#formacao_016,#sandstone,1172
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_036,#formacao_295,1194
constituted_by,UNIDADE_LITO,ROCHA,#membro_036,#mudstone,1195
constituted_by,UNIDADE_LITO,ROCHA,#membro_036,#sandstone,1195
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_071,#formacao_335,1202
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_071,#Dom_Joao_Age,1202
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_052,#formacao_335,1202
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_052,#Dom_Joao_Age,1202
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_335,#Dom_Joao_Age,1202
constituted_by,UNIDADE_LITO,ROCHA,#membro_027,#shale,1204
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_027,#formacao_295,1204
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_027,#Permian,1204
constituted_by,UNIDADE_LITO,ROCHA,#membro_027,#sandstone,1204
constituted_by,UNIDADE_LITO,ROCHA,#formacao_295,#shale,1204
constituted_by,UNIDADE_LITO,ROCHA,#formacao_295,#sandstone,1204
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_071,#formacao_335,1204
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#shale,1204
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#sandstone,1204
constituted_by,UNIDADE_LITO,ROCHA,#membro_052,#sandstone,1205
constituted_by,UNIDADE_LITO,ROCHA,#membro_052,#shale,1205
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_052,#formacao_335,1205
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#sandstone,1205
constituted_by,UNIDADE_LITO,ROCHA,#formacao_335,#shale,1205
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_025,#formacao_095,1212
located_in,UNIDADE_LITO,BACIA,#membro_025,#BASE_CD_BACIA_240,1214
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_052,#formacao_335,1221
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_052,#Dom_Joao_Age,1221
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_052,#Dom_Joao_Age,1221
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_335,#Dom_Joao_Age,1221
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_335,#Dom_Joao_Age,1221
constituted_by,UNIDADE_LITO,ROCHA,#membro_052,#shale,1224
constituted_by,UNIDADE_LITO,ROCHA,#formacao_239,#sandstone,1228
constituted_by,UNIDADE_LITO,ROCHA,#formacao_239,#sandstone,1231
constituted_by,UNIDADE_LITO,ROCHA,#membro_013,#sandstone,1260
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_013,#formacao_338,1260
constituted_by,UNIDADE_LITO,ROCHA,#formacao_338,#sandstone,1260
constituted_by,UNIDADE_LITO,ROCHA,#membro_013,#sandstone,1262
constituted_by,UNIDADE_LITO,ROCHA,#membro_005,#sandstone,1264
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_005,#formacao_338,1264
constituted_by,UNIDADE_LITO,ROCHA,#formacao_338,#sandstone,1264
located_in,CAMPO,BACIA,#field,#basin,1270
constituted_by,UNIDADE_LITO,ROCHA,#membro_005,#sandstone,1271
constituted_by,UNIDADE_LITO,ROCHA,#membro_005,#sandstone,1271
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_286,#Alagoas_Age,1272
constituted_by,UNIDADE_LITO,ROCHA,#formacao_338,#shale,1274
located_in,UNIDADE_LITO,BACIA,#formacao_338,#basin,1274
constituted_by,UNIDADE_LITO,ROCHA,#formacao_149,#sandstone,1276
