"BASE_CD_BACIA";"BASE_NM_BACIA";"BASE_SG_BACIA"
"30";"AMAZONAS";"AM  "
"80";"BARREIRINHAS";"BAR "
"266";"CAMAMU-ALMADA";"CAL "
"281";"CAMPOS";"C   "
"96";"CEARÁ";"CE  "
"256";"CUMURUXATIBA";"CUM "
"270";"ESPÍRITO SANTO";"ES  "
"51";"FOZ DO AMAZONAS";"FZA "
"250";"JEQUITINHONHA";"J   "
"76";"PARÁ-MARANHÃO";"PAMA"
"300";"PARANÁ";"PR  "
"90";"PARNAÍBA";"PN  "
"381";"PELOTAS";"P   "
"106";"PERNAMBUCO-PARAÍBA";"PEPB"
"100";"POTIGUAR";"POT "
"240";"RECÔNCAVO";"REC "
"316";"SANTOS";"S   "
"275";"SÃO FRANCISCO";"SF  "
"70";"SÃO LUIZ";"SL  "
"116";"SERGIPE-ALAGOAS";"SEAL"
"20";"SOLIMÕES";"C   "
"236";"JACUÍPE";"JC  "
"230";"TUCANO SUL";"TUCS"
"66";"RIO DO PEIXE";"RIOP"
"320";"PARECIS-ALTO XINGU";"P-AX"
"150";"ARARIPE";"ARAR"
"260";"MUCURI TERRA";"MUCT"
"261";"MUCURI MAR";"MUCM"
"10";"ACRE";"ACRE"
"35";"ALTO-TAPAJÓS";"ATAP"
"325";"BANANAL";"BANA"
"200";"IRECÊ";"IREC"
"210";"JATOBÁ";"JATO"
"50";"MARAJÓ";"MARJ"
"315";"PANTANAL";"PANT"
"40";"TACUTU";"TACT"
"220";"TUCANO CENTRAL";"TUCC"
"215";"TUCANO NORTE";"TUCN"
