"UNCN_NM_UNID_CRONO";"UNCN_NM_UNID_CRONO_ING";"UNCN_NM_UNID_GEOCRN";"UNCN_NM_GEOCRN_ING"
"Langsettiano [A]";"Langsettian [A]";"Langsettiano [A]";""
"Namuriano";"Namurian";"Namuriano";""
"Yeadoniano";"Yeadonian";"Yeadoniano";""
"Marsdeniano";"Marsdenian";"Marsdeniano";""
"Kinderscoutiano";"Kinderscoutian";"Kinderscoutiano";""
"Alportiano";"Alportian";"Alportiano";""
"Chokieriano";"Chokierian";"Chokieriano";""
"Mississippiano";"Mississippian";"Mississippiano";"Mississippian"
"Mississippiano Superior";"Upper Mississippian";"Neomississippiano";"Late Mississippian"
"Chesteriano";"Chesterian";"Chesteriano";""
"Serpukhoviano";"Serpukhovian";"Serpukhoviano";"Serpukhovian"
"Arnsbergiano";"Arnsbergian";"Arnsbergiano";""
"Pendleiano";"Pendleian";"Pendleiano";""
"Viseano E";"Visean E";"Viseano E";""
"Warnantiano";"Warnantian";"Warnantiano";""
"Brigantiano";"Brigantian";"Brigantiano";""
"Mississippiano Médio";"Middle Mississippian";"Mesomississippiano";"Middle Mississippian"
"Viseano";"Visean";"Viseano";"Visean"
"Asbiano";"Asbian";"Asbiano";""
"Merameciano";"Meramecian";"Merameciano";""
"Liviano";"Livian";"Liviano";""
"Holkeriano";"Holkerian";"Holkeriano";""
"Arundiano";"Arundian";"Arundiano";""
"Osageano";"Osagean";"Osageano";""
"Moliniaciano";"Moliniacian";"Moliniaciano";""
"Chadiano";"Chadian";"Chadiano";""
"Mississippiano Inferior";"Lower Mississippian";"Eomississippiano";"Early Mississippian"
"Tournaisiano";"Tournaisian";"Tournaisiano";"Tournaisian"
"Ivoriano";"Ivorian";"Ivoriano";""
"Courceyano";"Courceyan";"Courceyano";""
"Kinderhookiano";"Kinderhookian";"Kinderhookiano";""
"Hastariano";"Hastarian";"Hastariano";""
"Devoniano";"Devonian";"Devoniano";"Devonian"
"Devoniano Superior";"Upper Devonian";"Neodevoniano";"Late Devonian"
"Famenniano";"Famennian";"Famenniano";"Famennian"
"Cisuraliano";"Cisuralian";"Cisuraliano";"Cisuralian"
"Kunguriano";"Kungurian";"Kunguriano";"Kungurian"
"Artinskiano";"Artinskian";"Artinskiano";"Artinskian"
"Sakmariano";"Sakmarian";"Sakmariano";"Sakmarian"
"Asseliano";"Asselian";"Asseliano";"Asselian"
