"TEFR_SG_TIPO_EST_FISICA_ROCHA";"TEFR_NM_TIPO_EST_FISICA_ROCHA"
"EPBER";"Base Erosional"
"EPCAB";"Contato abrupto"
"EPCGD";"Contato Gradacional"
"EPECA";"Estraficação Cruzada de Baixo Ângulo"
"EPECB";"Estraficação Cruzada Tabular"
"EPECF";"Estraficação Cruzada Acanalada Festonada"
"EPECG";"Estraficação Cruzada Tangencial"
"EPECH";"Estraficação Cruzada Hummocky"
"EPECP";"Estraficação Cruzada Espinha de Peixe"
"EPECS";"Estraficação Cruzada Sigmoidal"
"EPECZ";"Estraficação Cruzada"
"EPEEL";"Estrutura Lenticular (linsen)"
"EPEPD";"Estraficação Plano Paralela Pouco Definida"
"EPEPP";"Estraficação Plano Paralela"
"EPFIS";"Físsil"
"EPFLR";"Flaser"
"EPGIN";"Gradação Inversa/Normal"
"EPGIV";"Gradação Inversa"
"EPGNI";"Gradação Normal/Inversa"
"EPGRN";"Gradação Normal"
"EPISE";"Imbricação de Seixos"
"EPLIN";"Laminação Incipiente"
"EPLPP";"Laminação paralela"
"EPMAC";"Microestratificação Acanalada"
"EPMAI";"Maciça"
"EPMCA";"Microestratificação Cavalgante"
"EPMCF";"Microestratificação Cruzada"
"EPMCL";"Mud Couplet (pares de argila)"
"EPMON";"Microestratificação Ondulada"
"EPRAR";"Recobrimento Argiloso"
"EPTBU";"Tidal Bundle"
"EPTTR";"Tapete de Tração"
"ESBAL";"Bolas e Almofadas"
"ESDAR";"Dique de Arenito"
"ESDSC";"Discordância"
"ESECH";"Estrutura em Chama"
"ESEGE";"Geopetal"
"ESEPR";"Estrutura em Prato"
"ESESC";"Escorregamento"
"ESGCR";"Greta de Contração ou Ressecamento"
"ESLCO";"Laminação Convoluta"
"ESMAC";"Marca de Carga"
"ESMSI";"Marca de Sola Indistinta"
"ESPLR";"Pilares"
"ESSLI";"Slickensides"
"ETABC";"Arborescente"
"ETABS";"Asbestiforme"
"ETABT";"Arbustiforme"
"ETACI";"Acamadamento Ígneo"
"ETACL";"Acamadamento Lenticular"
"ETALV";"Alveolar"
"ETAMB";"Ameboide"
"ETAMI";"Amigdaloidal"
"ETAPL";"Aplítica"
"ETBAN";"Bandeamento"
"ETBCS";"Brecha Colapso/Brecha Solução"
"ETBDN";"Boudin"
"ETBMS";"Brecha em Mosaico"
"ETBRE";"Brechado"
"ETBTD";"Botrioidal"
"ETBWK";"Boxwork"
"ETCAD";"Clivagem Ardosiana"
"ETCAN";"Concreção de Anidrita"
"ETCAR";"Contato Abrupto/Reto"
"ETCBP";"Crosta Botrioidal/Prismática de Calcita"
"ETCCB";"Concreção Carbonática"
"ETCCR";"Clivagem de Crenulação"
"ETCFT";"Clivagem de Fratura"
"ETCLA";"Clivagem Anastomosada"
"ETCLE";"Clivagem Espaçada"
"ETCLF";"Coloforme"
"ETCLN";"Colunar"
"ETCLP";"Colapso"
"ETCMR";"Cavidade Mialorítica"
"ETCNR";"Concreção"
"ETCNT";"Cornet"
"ETCON";"Convoluta"
