"UNLI_CD_UNID_LITO";"UNLI_SG_UNID_LITO";"UNLI_NM_UNID_LITO";"UNLI_CD_UNID_LIT_S";"UNLI_CD_UNID_AGP";"TIUL_CD_TIPO_UNID";"UNLI_TX_FONTE_REF"
"426";"PRECAR  ";"SEQUENCIA PRE-CARBONIFERA";"";"786070";"FM";""
"414";"F NHAMUN";"FM. NHAMUNDA";"410";"921096";"FM";""
"415";"F MIRADO";"FM. MIRADOR";"404";"922598";"FM";""
"416";"F AUTMIR";"FM. AUTAS MIRIM";"410";"923096";"FM";""
"417";"F RIACHA";"FM. RIACHAO";"404";"923098";"FM";""
"418";"G PURUS ";"GR. PURUS";"";"923105";"GR";""
"419";"G ESTANC";"GR. ESTANCIA";"";"924098";"GR";""
"420";"F ACARI ";"FM. ACARI";"418";"925098";"FM";""
"421";"F PROSPE";"FM. PROSPERANCA";"418";"925598";"FM";""
"422";"G ITAJAI";"GR. ITAJAI";"";"926399";"GR";""
"423";"EMBASA  ";"EMBASAMENTO";"";"927099";"FM";""
"424";"SOLEIR  ";"SOLEIRA";"";"928099";"FM";""
"425";"DIQUE   ";"DIQUE";"";"929099";"FM";""
"110";"F TRAVOS";"FM. TRAVOSAS";"49";"280035";"FM";""
"111";"F IMBITU";"FM. IMBITUBA";"";"283045";"FM";""
"77";"F CARAPB";"FM. CARAPEBUS";"14";"221510";"FM";""
"78";"C ALBACO";"ARENITO ALBACORA";"77";"221710";"CM";""
"79";"C MARLIM";"ARENITO MARLIM";"77";"221810";"CM";""
"80";"C CORVIN";"CONGLOMERADO CORVINA";"77";"221815";"CM";""
"81";"C ENCHOV";"ARENITO ENCHOVA";"77";"221910";"CM";""
"82";"C BARRAC";"ARENITO BARRACUDA";"77";"222010";"CM";""
"83";"C GUARAJ";"ARENITO GUARAJUBA";"77";"222110";"CM";""
"84";"C CARAPE";"ARENITO CARAPEBA";"77";"222210";"CM";""
"85";"C ESPADA";"ARENITO ESPADARTE";"77";"222310";"CM";""
"86";"F FLORIP";"FM. FLORIANOPOLIS";"";"225045";"FM";""
"87";"F FLOITA";"FM. FLORIANOPOLIS/ITANHAEM INDIVISAS";"";"230045";"FM";""
"88";"F ATLANT";"FM. ATLANTIDA";"";"231043";"FM";""
"89";"F ITANHA";"FM. ITANHAEM";"";"235045";"FM";""
"90";"F FLOGUA";"FM. FLORIANOPOLIS/GUARUJA INDIVISAS";"";"240045";"FM";""
"91";"F TRAPTB";"FM. TRAMANDAI/PORTOBELO INDIVISAS";"";"241043";"FM";""
