"TINH_SG_TIPO_MINERAL_ROCHA";"TINH_NM_TIPO_MINERAL_ROCHA"
"MAILM";"Ilmenita"
"MAMAG";"Magnetita"
"MAMBI";"Mica (biotita)"
"MAMMU";"Mica (muscovita)"
"MAOPA";"Opaco Não Identificado"
"MAPIR";"Pirita"
"MASPD";"Aspidolita"
"MCLPT";"Clorapatita"
"MEABL";"Anortita/Bytownita/Labradorita"
"MEACT";"Actinolita"
"MEADL";"Andalusita"
"MEADN";"Almandina"
"MEADT";"Andradita"
"MEAGN";"Aragonita"
"MEAGY";"Apatita+Goyazita"
"MEALA";"Al-Argilominerais"
"MEALB";"Albita"
"MEALC";"Al-Cromita"
"MEALE";"Al-Esmectitas"
"MEALF";"Al-Fosfato"
"MEALI";"Al-Micas+Ilita+Al-Esmectitas"
"MEALM";"Al-Micas+Ilita"
"MEALN";"Alanita"
"MEALZ";"Albita/Zeólita"
"MEAM";"Argilominerais+filossilicatos"
"MEAMA";"Apatita+Mg-Argilomineral"
"MEAND";"Anidrita"
"MEANE";"Andesina"
"MEANF";"Anfibólio"
"MEANG";"Anidrita/Gipsita"
"MEANK";"Ankerita"
"MEANL";"Analcima"
"MEANO";"Anortita"
"MEANR";"Anortoclásio"
"MEANT";"Anatásio"
"MEAPT";"Apatita"
"MEARG";"Aegirina-Augita"
"MEART";"Artefatos"
"MEASC";"Fase de Al, Si, Ca, Fe"
"MEAUG";"Augita"
"MEBAC";"Baritocalcita"
"MEBAD";"Badeleíta"
"MEBAR";"Barita"
"MEBAS";"Bassanita"
"MEBCE";"Ba-Celestita"
"MEBCH";"Bichofita"
"MEBRN";"Bornita"
"MEBRO";"Brookita"
"MEBRU";"Brucita"
"MEBST";"Barita de Estrôncio"
"MEBTT";"Biotita"
"MEBYT";"Bytownita"
"MECAU";"Caulinita"
"MECCE";"Clorita+Clorita-Esmectita"
"MECCL";"Clorita e/ou Caulinita"
"MECCS";"Clori +Inter Clori-Esmecti"
"MECDA";"Ca-Dolomita/Ankerita"
"MECDT";"Cordierita"
"MECEL";"Celestita"
"MECLC";"Calcedonia"
"MECLO";"Calcocita"
"MECMC";"Calcita+MC"
"MECMG";"Calcita Magnesiana"
"MECMO";"Calcita+MO"
"MECNT";"Cianita"
"MECOR";"Corindom"
"MECPY";"Calcopirita"
"MECRL";"Criolita"
"MECRM";"Cromita"
"MECRN";"Carnalita"
"MECRT";"Cristobalita"
"MECS";"Inter Clorita-Esmectita"
"MEDAW";"Dawsonita"
"MEDCD";"Dolomita/Ca-Dolomita"
"MEDFA";"Dolomita/Fe-Dol/Ankerita"
"MEDIK";"Dickita/Caulinita"
"MEDLF";"Diopsídio Low Fe"
"MEDLM";"Dolomita+MO"
"MEDMC";"Dolomita+MC"
"MEDOL";"Dolomita"
"MEDPS";"Diopsídio"
"MEENT";"Enstatita"
"MEEPI";"Epidoto"
"MEEPS";"Espessartita"
"MEESC";"Escapolita"
"MEESF";"Esfalerita"
"MEESP";"Espinélio"
"MEETV";"Estevensita"
"MEFAP";"Fase de F, Al, P, Ca, Sr"
"MEFAS";"Fase de F, Al, Si, Ca"
"MEFDP";"Feldspato Potássico"
"MEFEC";"Fe-Cromita"
"MEFEL";"Feldspato Alcalino"
"MEFEM";"Fe-Micas"
"MEFEN";"Feldspato Não-Identificado"
"MEFEO";"Fe-Óxidos"
"MEFEP";"Feldspato (plagioclásio)"
"MEFID";"Feldspato Indiferenciado"
"MEFLG";"Flogopita"
"MEFLP";"Fluorapatita"
"MEFLU";"Fluorita"
"MEFMA";"Fase de F, Mg, Al, Si"
"MEFOS";"Fosfato"
"MEFPT";"Feldspatóide"
"MEFRS";"Ferrosilita"
"MEFTR";"Forsterita"
"MEFYL";"Fayalita"
"MEFZR";"Fase com Zr"
"MEGAL";"Galena"
"MEGIA";"Gipsita/Anidrita"
"MEGIB";"Gibbsita"
"MEGIP";"Gipsita"
"MEGLB";"Glauberita"
"MEGRA";"Granada"
"MEGRC";"Gorceixita"
"MEGRS";"Grossularia"
"MEGTH";"Goethita"
"MEGYZ";"Goyazita"
"MEHAL";"Halita"
"MEHDN";"Hedenbergita"
"MEHDR";"Hidrocarboneto"
"MEHEM";"Hematita"
"MEHEU";"Heulandita"
"MEHNT";"Hauynita"
"MEHPR";"Hiperstênio"
"MEHRN";"Hornblenda"
"MEIET";"Ilita/Esmectita"
"MEILI";"Ilita"
"MEIS";"Inter Ilita-Esmectita"
"MEISI";"Inter Ilita-Esmectita Irr"
"MEISO";"Inter Ilita-Esmectita Ord"
"MEJAR";"Jarosita"
"MEJDT";"Jadeita"
"MEKER";"Kerolita"
"MEKFD";"K-Feldspato"
"MEKTN";"Kutnohorita"
"MELAW";"Lawsonita"
"MELAZ";"Lazurita"
"MELBR";"Labradorita"
"MELMI";"Ilita+Micas"
"MEMA1";"Mg-Argilominerais 1"
"MEMA2";"Mg-Argilominerais 2"
"MEMAF";"Máfico Não Identificado"
"MEMAG";"Magnesita"
"MEMAO";"Matéria Orgânica (MO)"
"MEMAR";"Matéria Orgânica+outros"
"MEMAS";"Fase de Mg, Al, Si, Ca, Fe"
"MEMEL";"Melanterita"
"MEMFE";"Fase de Mg, Fe"
"MEMGC";"Magnesiocopiatite"
"MEMGH";"Maghemita"
"MEMGM";"Mg-Micas"
"MEMGN";"Magnesiocromita"
"MEMIC";"Mica"
"MEMIT";"Micas+Ilita(e/ou I/S)"
