"STPO_CD_STATUS";"STPO_TX_STATUS"
"APR";"LOCACAO APROVADA"
"ARC";"PERFURACAO CONCLUIDA AGUARDANDO RECLASSIF."
"SUS";"LOCACAO SUSPENSA"
"CAN";"LOCACAO CANCELADA"
"DEP";"LOCACAO DEPENDENTE"
"PRF";"EM PERFURAÇÃO"
"INT";"POCO INTERROMPIDO"
"CON";"POCO CONCLUIDO"
"ABT";"POCO ABANDONADO TEMPORARIAMENTE"
"ABD";"ABANDONADO PERMANENTEMENTE"
"ARS";"ARRASADO"
"CED";"CEDIDO PARA CAPTAÇÃO DE ÁGUA"
"DEV";"DEVOLVIDO"
"CMP";"POCO COMPLETADO PARA PRODUCAO"
"ALE";"ABANDONADO POR LOGÍSTICA EXPLORATÓRIA"
"AAA";"ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO"
"INJ";"INJETANDO"
"DES";"OPERANDO PARA DESCARTE"
"OUT";"OUTRO"
"PAI";"OPERANDO PARA CAPTAÇÃO DE ÁGUA"
"PRO";"PRODUZINDO"
"ICR";"EM INTERVENÇÃO PARA AVALIAÇÃO, COMPLETAÇÃO OU RESTAURAÇÃO"
"ABN";"EM ABANDONO"
"EAP";"EQUIPADO AGUARDANDO INÍCIO DE PRODUÇÃO"
"EAI";"EQUIPADO AGUARDANDO INÍCIO DE INJEÇÃO"
"ACR";"ABANDONADO/PARADO AGUARDANDO INTERVENÇÃO PARA AVALIAÇÃO, COMPLETAÇÃO OU RESTAURAÇÃO"
"AAR";"ABANDONADO AGUARDANDO REÍNICIO DE PERFURAÇÃO"
"EAO";"EQUIPADO AGUARDANDO INÍCIO DA OPERAÇÃO"
"IJE";"INJETANDO PARA ESTOCAGEM"
"AVA";"EM AVALIAÇÃO"
"ASM";"ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO"
"ECP";"EM COMPLETAÇÃO"
"FCH";"FECHADO"
"RGE";"RETIRANDO GÁS NATURAL ESTOCADO"
"OBS";"EM OBSERVAÇÃO"
"ITV";"EM INTERVENÇÃO"
"PIN";"PRODUZINDO E INJETANDO"
"ATM";"ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO"
"TRO";"TRANSFERIDO PARA OUTRA OPERADORA"
"DCU";"DEVOLVIDO A CONCESSÃO PARA UNIÃO"
"DLS";"DEVOLVIDO A LOCAÇÃO AO SUPERFICIÁRIO"
"PEN";"STATUS PENDENTE / INDEFINIDO PELA INFERÊNCIA"
